sentence,label
오늘 투자회사에서 재무 상담을 받고 왔어.,기쁨
지금 청력이 많이 안 좋아졌지만 노래를 들으면 노래 제목을 다 맞출 수 있어서 기뻐.,기쁨
부모님 사이가 나빠서 이혼 이야기가 나왔는데 다시 사이가 회복되서 다행이야.,기쁨
오늘은 나름대로 쉬엄쉬엄 쉬면서 일한 것 같아. 그렇게 피곤하지 않네.,기쁨
아버지가 나한테 토지 하나를 물려주셨는데 정말 큰 도움이 될 것 같아서 아버지께 감사하다고 해야겠어.,기쁨
동생이랑 냉전 상태였는데 다행이네.,기쁨
건강을 위해 다이어트와 운동을 시작했는데 효과가 있는 것 같아.,기쁨
오늘 감사하는 일이 생겼어.,기쁨
나이가 들어 죽음의 문 앞에 선다면 편안하게 자면서 천국에 가고 싶어.,기쁨
우리 딸이 드디어 취직했어. 그것도 엄청난 대기업에 말이야.,기쁨
내가 힘들 때마다 위로해 줘서 고마워.,기쁨
여자친구가 임신이 되기 힘든 몸인데 임신을 했어. 기분 좋아서 어떻게 해야 될 지 모르겠어!,기쁨
비록 몸이 젊을 때 만큼 팔팔하지는 않지만 남의 부축 없이 다닐 수 있으니 감사를 해야지.,기쁨
나 어제 짝사랑하던 남자에게 고백했는데 고백 받아줬어.,기쁨
오늘 여자친구랑 데이트하기로 해서 무슨 옷을 입을지 벌써부터 고민돼.,기쁨
나 좀 기분 좋은 일이 있어.,기쁨
임신에 대해 부담이 강했었는데 계획을 차차 세우기로 해서 너무 기뻐.,기쁨
룸메이트가 편해서 너무 기뻐.,기쁨
투병 중에 가정이 있음에도 내가 아프다고 매일같이 와준 자식들에게 너무 고마웠어.,기쁨
오늘 동호회에 처음으로 나가기로 했어. 떨린다!,기쁨
새로운 팀장님이 일을 잘하는 분이라 안심돼.,기쁨
아이가 태어난 후 처음으로 아내와 단둘이 여행을 가게 되었어.,기쁨
얼마 전에 며느리가 손주를 낳아서 차를 한 대 선물해줬어. 너무 행복해.,기쁨
처음에는 일을 할 때마다 은퇴가 두려웠지만 지금은 되레 은퇴할 수 있다는 말이 신이 나!,기쁨
정말 감사한 일이야.,기쁨
오늘 진로 선생님께 진로 상담을 받았는데 진짜 만족스러운 마음이 들어.,기쁨
지금 남자친구는 참 좋은 사람이야. 이번 연애는 만족스러워.,기쁨
아침에 일찍 일어나니까 출근길이 여유로워져서 좋아.,기쁨
친구들이 요즘 나를 은근히 왕따 시키는 것 같아서 걱정이야. 믿을만한 사람은 엄마 뿐인데 말할까 말까?,기쁨
방학 때 예습을 했더니 요즘 고등학교 수업이 쉽게 느껴져. 수업 듣기 참 편하다.,기쁨
내일 내가 취직하고 싶은 기업의 면접이 예정 돼 있어.,기쁨
건강 검진에서 좋은 결과가 나왔어.,기쁨
자식들은 언제나 내가 필요할 때 돈을 보내줄 거라고 생각하고 있어.,기쁨
십 년 사귄 애인과 나는 연락이 잘 닿지 않아도 서로 믿고 있어.,기쁨
일할 때 내가 노래를 하면 다들 흥이 돋는다고 좋아해.,기쁨
아들 딸 다 출가 시키고 만성질환이 있어 병원에 다니는 데 내 담당의 선생님이 경력이 많아 보여 신뢰가 가네.,기쁨
사장님이 자유분방한 분이라 사무실 분위기가 아주 편해.,기쁨
나의 첫 제자들이 스승의 날이면 연락도 해주고 모임도 주선해서 참 고마워.,기쁨
드디어 내가 원하는 직무로 부서를 이동했어. 날 도와준 동료들 덕이야.,기쁨
정말 기뻐. 이번에 승진했어!,기쁨
이번 달에 내가 좋은 실적을 냈어.,기쁨
요즘 회사 출근하는 게 마음이 한결 편해졌어.,기쁨
졸업 후 정신 없이 취업 준비를 해야하는데 부모님의 지원 덕에 마음이 편하다!,기쁨
아내가 오래전부터 담배를 끊으라고 해서 끊고 많이 힘들었는데 이제는 몸도 가볍고 정신도 맑아서 좋아.,기쁨
엄마가 십 년 전부터 들어 놓은 나의 연금 보험이 있대!,기쁨
아들이 내 휠체어를 보더니 전동휠체어를 사줬어. 아들을 잘 키운 거 같아서 흐뭇하고 좋더라.,기쁨
손녀가 내가 오늘 퇴원했다고 선물이라며 백 점짜리 시험지를 줬어.,기쁨
요새 은퇴한 후 남편과 여유로운 생활을 즐기고 있으니 너무 마음이 편안해.,기쁨
밖에 있다가 집에만 오면 마음이 편안해지고 기뻐.,기쁨
회사에서 전 직원에게 특별 보너스를 지급하기로 해서 너무 기뻐!,기쁨
몇 년 동안 서양화를 배웠는데 이번에 좋은 평을 받게됐어.,기쁨
아내는 평생을 행복하게 해 주겠다는 내 말을 믿고 나와 결혼했어.,기쁨
나 진짜 행복해.,기쁨
그동안 빚 때문에 힘들었던 우리 집이 빚을 다 갚았대. 정말 속이 다 후련해.,기쁨
목감기가 걸렸었는데 이제 다 나아서 편안해졌어.,기쁨
얼마 전부터 복지관에 너무 예쁜 여사가 다니기 시작해서 내 마음이 너무 설레네.,기쁨
사무실이 조용하고 쾌적해서 집중이 잘돼. 아침부터 기분이 좋아.,기쁨
오늘 아주 좋은 일이 있었어. 내 친구 민수 덕분에 왕따가 해결됐거든.,기쁨
지난주에 우리 학교에서 폭행 사건이 있었어.,기쁨
술을 마시지 못하는데 남편이 무알코올 맥주를 사다 줘서 너무 기뻐.,기쁨
오늘 아내가 병원에 갔는데 임신했대. 너무 기뻐!,기쁨
이번 달리기 시합에서는 일등 할 수 있을 것 같아.,기쁨
아팠던 동기가 나아서 회사로 돌아왔어. 완쾌해서 정말 다행이야!,기쁨
이제 룸메이트랑 좀 편해져서 다행이야.,기쁨
우리 학교는 학교폭력과 따돌림이 없어서 정말 흡족해.,기쁨
엄마한테 잘 낳아준 것에 대한 감사한 마음을 전하고 싶은데 뭔가 부끄러워.,기쁨
이등한테 잡힐까 봐 조마조마했는데 다행히 시험을 잘 봐서 내가 일등을 했어.,기쁨
부모님은 동생과 나를 비교한 적이 한 번도 없었어. 부모님의 그런 점이 존경스러워.,기쁨
외국에 계시는 이모님이 결혼 선물을 보내 주셨어.,기쁨
전체 부서 중 우리 부서가 실적 일 등을 했어! 너무 기뻐!,기쁨
돈 관리를 꼼꼼히 해준 아내 덕분에 병원비를 내면서도 빠듯하지 않게 살고 있어.,기쁨
저번에 슈퍼 주인아저씨가 쓰러졌을 때 도와줬더니 오늘도 콩나물을 덤으로 엄청 주셨네.,기쁨
여자 친구와 싸웠는데 거짓말하지 말라고 소리 질러서 속상해.,슬픔
너무 슬프고 우울해.,슬픔
매일 술 먹고 늦게 들어오는 남편에게 거부감이 느껴져. 이혼을 해야겠어.,슬픔
우리 집이 풍족할 때는 친구들이 항상 나를 찾았는데 우리 집이 망한 뒤로 연락이 안 돼.,슬픔
얼마 전에 해고를 당했는데 아직 가족들한텐 말을 못 했어. 정말 괴로워.,슬픔
나이 먹은 것도 서러운데 돈 때문에 먹고 싶은 것도 못 먹네. 참 슬퍼.,슬픔
큰아이가 다음 달에 군대에 가는데 평소에 좀 잘해주지 못해 후회되네.,슬픔
그렇게 건강하던 사람이 어떻게 그렇게 허망하게 갈 수 있는지 비통하고 원통해.,슬픔
이젠 직장에서도 날 인정해 주지 않아.,슬픔
급격히 줄어드는 가게 손님으로 결국 문을 닫게 됐는데 계속 눈물이 나와.,슬픔
날 도와주는 친구가 한명도 없어. 모두 나를 모른 척해.,슬픔
남편이 몸이 아파 더 일을 못 한다니 안타까워.,슬픔
기분이 나빠도 그냥 넘어간 내가 바보 같아서 슬퍼.,슬픔
나 너무 실망스러운 일이 있어.,슬픔
다른 친구들은 학원을 몇 개씩 다니는데 나는 집안 형편 때문에 안 돼.,슬픔
따돌림 사건을 보고 머리가 마비된 것 같아.,슬픔
건강검진을 받고 나니까 내 몸을 어떻게 관리해나갈지 막막해.,슬픔
십년지기 친구들과 사이가 멀어진 것 같아.,슬픔
나 오늘 퇴사했어.,슬픔
아이를 낳고 부모가 되는 것이 우울해.,슬픔
병원에 가보니 간암이래. 일찍 치료할 걸 후회 중이야.,슬픔
내가 앞으로 어떤 일을 해낼 수 있을지 생각하면 너무 우울하고 막막해.,슬픔
오늘 결혼식장에서 부모님이랑 인사를 하는데 눈물이 났어.,슬픔
남편이 이혼하자고 했어. 버려지는 것 같아서 너무 서럽다.,슬픔
우리 식구는 서로 사랑하지 않는 거 같아서 슬퍼.,슬픔
난 그래도 내 친구를 신뢰했지만 실망이야.,슬픔
엄마 아빠가 이혼해서 너무 슬퍼.,슬픔
이 나이에 갑자기 주재원으로 나가라니 어쩌면 좋지?,슬픔
당뇨병을 앓고 있는데 합병증까지 걸려서 재정적으로 부담이 되어 속상해.,슬픔
친정엄마 때문에 좀 슬퍼.,슬픔
우리 딸이 회사 근처에서 자취를 시작한다는데 내가 돈을 못 보태주고 있어. 착잡하네.,슬픔
이번 모의고사 성적이 너무 떨어졌어.,슬픔
소득이 점점 줄어드는 상황에서 삶이 참 힘에 겹고 슬퍼.,슬픔
집에서 남편과 시댁 문제로 의견 충돌이 있었어. 아직도 이 사회는 여자 의견을 무시하는 경향이 있어.,슬픔
회사 일이 많아 내 능력과 비교해 너무 부담스러워.,슬픔
오늘 면접에서 또 떨어져서 울었어. 내가 몸이 불편해서 어디에서도 나를 채용하지 않아.,슬픔
코로나바이러스 때문에 결혼식 인원이 많이 제한됐어. 한 번뿐인 결혼식인데 너무 속상해.,슬픔
명절에 자식들이 하나도 오지를 않았어.,슬픔
삼 년 동안 도전해온 공무원 시험에서 또 떨어졌어.,슬픔
나는 건강해서 살아있지만 내 주변 사람들이 많이 떠나서 슬퍼.,슬픔
대학을 정해야 하는데 진로 고민 때문에 너무 힘들어.,슬픔
오늘 선을 봤는데 이번에도 실패야.,슬픔
이번에 수행평가를 완전히 망쳐버렸어. 어쩌지?,슬픔
내 가장 친한 친구가 학교 폭력 가해자였어. 너무 실망스러워.,슬픔
남편의 다리 떠는 버릇이 꼴 보기 싫어. 도대체 언제 고쳐질는지 모르겠어.,슬픔
요즘 취직 생각만 하면 눈물이 날 거 같아.,슬픔
나에게는 정말로 친한 친구가 하나도 없어.,슬픔
이번 시험에서 내 친구보다 시험 성적이 좋지 못해서 너무 슬퍼.,슬픔
오늘 면접에서는 다른 지원자에 비해서 내 행색이 너무 초라하다고 느껴졌어.,슬픔
얼마 전에 직장에서 해고되었는데 정말 슬프고 힘들어.,슬픔
난 왜 살지. 돈도 없고 남자도 없고 하고 싶은 것도 없네. 착잡하다.,슬픔
요즘 애 때문에 걱정이야.,슬픔
아무리 일을 해도 내 집 마련하기도 어려워. 뼈 빠지게 일하고 있는데도 이러니 정말 억울해.,슬픔
기억력이 예전 같지 않아서 속상하네.,슬픔
퇴근하면 아이들이 인사하면서 맞아줬으면 좋겠는데 관심이 없어서 우울해.,슬픔
역시 염세적인 사람은 대인관계 형성에 의욕이 없나 봐. 날 너무 힘들게 해.,슬픔
회사에서 아무리 열심히 일해도 아무도 알아주지 않아.,슬픔
대학입시 방법이 자꾸만 변경되서 정말 짜증나!,슬픔
요즘 남편과 사이가 안 좋아서 너무 우울해.,슬픔
요즘 자꾸 깜박깜박 뭘 자주 잊어버려.,슬픔
요즘 노인들을 욕하는 사람들이 많아 슬프고 화가 나.,슬픔
대학 가는 게 내 인생의 목표다 보니. 수동적인 삶을 사는 것 같아.,슬픔
아빠 사업에 문제가 생겼대. 어떡하지?,슬픔
아이들은 경제적인 지원이 필요한데 해줄 수가 없어서 슬프네.,슬픔
손녀가 너무 보고 싶은데 바빠서 병문안에 오질 않네.,슬픔
며칠 전 친구 할머니가 돌아가셔서 친구가 아직도 많이 울고 있어. 그 모습을 보니 나도 너무 슬퍼.,슬픔
건강을 생각해서라도 이제부터 헬스장 다니면서 운동해야 하는 건 아닌가 모르겠네.,슬픔
나이가 들어서 새로운 지식을 습득하는 능력이 저하돼서 속상하고 슬퍼.,슬픔
아무 생각 없이 일만 하다가 벌써 노인이 되었어. 인생이 이렇게 허무하다니.,슬픔
성적이 좀처럼 오르지 않아서 고민이 많아.,슬픔
수입이 많이 줄어서 가정 경제가 마비될 지경이야.,슬픔
다리에 장애가 생겨 가족의 생계를 책임지기 전보다 어려워졌어. 이런 상황이 너무 슬퍼.,슬픔
오늘 합격자 공고가 떴는데 내 이름이 없더라. 가슴이 너무 아파.,슬픔
내 친구들에 비해 소득이 많지 않아서 너무 슬퍼.,슬픔
나이가 있어서 택배 업무가 너무 힘들어. 애들은 먹여 살려야 하는데 너무 슬프다.,슬픔
즘 팔다리 어깨 등 안 아픈 데가 없어.,슬픔
요즘 갱년기라 남편이 밥 달라고 하는 말에도 눈물이 나. 모든 집안일이 너무 힘들어.,슬픔
수술비 청구서에 삼백만원이 나왔어 치료를 받지 못할 것 같아.,슬픔
내 고교 동창이 요즘 힘이 드는가 봐.,슬픔
얼마 전 백내장이 진행 중이라는 진단을 받아서 너무 슬퍼.,슬픔
사귀는 남자가 있는데 요즘은 같이 있어도 혼자 있는 기분이 들어.,슬픔
내가 삼 년을 짝사랑한 여자 후배가 있는데 내 절친과 사귀고 있었대. 너무 슬퍼서 울고 싶어.,슬픔
퇴직을 하고 나니까 사람들에게서 연락도 뜸해지고 해서 너무 외로워.,슬픔
배 속의 아기가 유산되었어. 너무 슬프고 고통스러워.,슬픔
지난주에 와이프가 또 유산했어.,슬픔
나는 연봉이 높은 회사로 이직하려고 노력했는데 그게 어려워서 서글퍼.,슬픔
지금 하고 있는 일이 나에게 안 맞는 것 같아 힘들어.,슬픔
요즘 들어 자꾸 사는 게 귀찮다는 생각이 들 때가 많아.,슬픔
요즘 코로나 때문에 인간관계가 마비됐어.,슬픔
사람들과의 유대감이 상실된 것 같아서 너무 슬퍼.,슬픔
남편과 평생 건강하게 살고 싶었는데 암 판정을 받았어.,슬픔
특별 보너스 지급이 취소됐어.,슬픔
고등학교에 올라와서 시험 성적이 점점 떨어지고 있어. 성적표를 보고 눈물이 났어.,슬픔
이번에 반이 변경되면서 본인을 괴롭히던 애랑 떨어질 수 있을까 기대했는데 다시 같은 반이 되었어.,슬픔
아직도 내가 뭘 좋아하는지 모르겠어.,슬픔
박 씨가 노인정에서 영양제 먹는걸 보니 좋아 보이던데 나도 그때 홈쇼핑에서 살걸. 후회되네.,슬픔
내가 지방대를 졸업해서 받는 차별이 있는 것 같아. 너무 서럽다.,슬픔
선천적으로 몸이 성치 않은 곳이 있어 일 구하기가 쉽지 않아.,슬픔
지금 내 곁에 있는 사람들은 내 돈만 보고 교류하는 사람뿐이야.,슬픔
내가 조금만 더 건강을 챙겼으면 자식들이 병원비를 내지 않아도 됐을 텐데. 후회스러워.,슬픔
우리 팀장님은 남자와 여자의 할 일이 따로 있다고 생각해서 내가 하고 싶은 일을 할 수가 없어. 너무 답답해.,분노
대학을 졸업하지도 못하고 스펙 하나 없이 취업을 준비하는 나 자신이 원망스러워.,분노
자식들이 내가 늙으면 부양해주지 않을 거래서 너무 서운해.,분노
일 적인 걸 자꾸 물어봐. 업무시간에 물어봐 줬으면 좋겠어.,분노
가족관계가 마비가 되어 버렸어.,분노
부모님이 극구 반대하셨던 보드를 타다가 갈비뼈가 부러졌어. 지금 움직이지 못해서 고통스러워.,분노
돈은 똑같이 버는데 남편은 집안일을 제대로 하지를 않아. 매일 말다툼해서 힘들어.,분노
내 친구는 참 치사해.,분노
요즘 코로나에 태풍에 부동산에 경제에 모든 게 최악이야.,분노
다음 달 결혼을 앞두고 있는데 준비해야 할 것들이 너무 많아 힘이 들어.,분노
이제 남편이 은퇴할 때가 다가오는데 걱정이 많아서 잠이 안 와.,분노
연애를 하면서 오늘이 제일 화가 났어.,분노
이번 주에 병원에서 드디어 내 아이를 출산했어.,분노
그렇게 가버리다니. 다 내 잘못이네.,분노
이번에 새로운 직원 때문에 회사 업무가 마비될 지경이야.,분노
계곡에 갔었는데 아내가 심장이 약한데 자식들이 자꾸 찬 계곡물에 같이 들어가자고 해서 기분이 언짢았어!,분노
남자친구와 빨리 결혼하고 싶은데 아직 결혼할 만큼 충분한 돈을 모으지 못했어. 다들 결혼하는데 나만 못하고 있는 것 같아.,분노
건강이 안 좋다 보니 인지능력도 떨어지는 것 같네!,분노
아까 친구를 만났는데 화가 많이 나네.,분노
아들의 성적표가 나왔는데 성적이 이게 뭐냐고 소리치고 화를 내서 아들이 집을 나가버렸어.,분노
양친은 매일 바쁘고 내 생활에 관심도 없으면서 무조건 잔소리만 하셔.,분노
매일 나에게 연락해서 돈만 빌려가는 친구에게 분노했어.,분노
오늘 회식이 있는데 내가 싫어하는 신입이랑 같이 앉기가 싫어.,분노
자식들이 늙은 부모한테 자꾸 돈을 달라고 해서 화가 나.,분노
명절인데 자식들이 안 오네 섭섭해서 원.,분노
전엔 안 그러더니 요즘 왜 그러나 몰라!,분노
심적으로 힘든 것 때문에 자꾸 친구랑 싸우게 되는 내가 싫어.,분노
친구가 학교폭력을 당하게 되었는데 다 나 때문인 것 같은 생각이 들어.,분노
환절기라 감기에 걸릴까 봐 외투를 입고 다니지만 대중교통을 타면 너무 더워서 답답해!,분노
건강이 안 좋아지면서 나 때문에 딸의 상견례도 계속 연기가 되어서 매우 화가 나.,분노
요즘 생리 때문에 감정 기복이 심한데 남자친구가 이해를 못 해줘.,분노
눈이 안 좋다는 이유로 직장 동료들에게 따돌림을 받는 내가 싫어.,분노
친한 사이에 모바일 청첩장만 보내는 건 아니지 않아? 정말 정이 뚝 떨어지더라.,분노
우리 집 비밀번호를 누르는데 친구가 계속 쳐다보고 있어서 좀 어색했어.,분노
너무 화나. 아내가 작년에 녹용을 사놓고는 안 먹고 다른 사람도 안주고 냉동실에 처박아두더라?,분노
박 과장은 오늘도 어김없이 나에게 잘난 척을 했어.,분노
남편이 매일 등산을 하는 나를 보고 비아냥거려.,분노
딸이 내 병문안을 오다가 교통사고가 났다고 했는데 전화를 받지 않아. 너무 걱정 돼.,분노
나이를 먹어서 그런지 이제는 마누라 잔소리가 너무 싫구먼.,분노
의사 양반에게 소리 질렀어. 의사가 치매라고 말하는데 자식들한테 돈 받은 것 같아서.,분노
아이가 아빠와는 이야기를 별로 안 해. 난 아이와 대화하고 싶은데.,분노
내가 제때 의부증을 인정하고 치료받았더라면 이렇게 혼자 남겨지지는 않았을 텐데. ,분노
이번에 업무 분장을 새로 했어.,분노
주변 사람들은 건강하고 여유로운데 나는 질환을 앓고 있고 돈도 없는 현실이 싫어.,분노
부하직원이 또 실수했지 뭐야. 오더를 잘못 내려서 엉망이 됐어.,분노
정말 화가 나서 미치겠네. 내가 경력이 얼마고 내 일처리를 얼마나 똑 부러지게 하는데 나에게 이래라 저래라 하다니 너무 화가 나네.,분노
노후계획으로 쪽방 사업을 해보려고 하는데 쪽방 사업 규제가 강화된다고 해서 짜증이 나.,분노
의지하던 사람들이 모두 죽고 이제 나 혼자 남았어. 외롭고 슬퍼.,분노
퇴원하고 집에 왔는데 아들에게 맡긴 돈 일부가 사라지고 없더라. 내 치료비의 두 배가 넘는 돈이었어.,분노
당뇨병 때문에 약값이 너무 비싸 생활비가 모자랄 정도야.,분노
나의 노후를 생각하면 불안한 마음을 지울 수가 없어.,분노
지정받은 실습처 월급도 제대로 안 나오고 짜증 나.,분노
남편의 보증 때문에 우리 집이 압류를 당했을 때 난 거처를 구하러 다녔었어. 지금 생각해도 눈물 나.,분노
어릴 적 홀어머니 아래서 찢어지게 가난하게 자라 친구들 앞에서 콤플렉스가 있어. ,분노
최근에 친구랑 싸웠어.,분노
나 요즘 사람들만 보면 가식덩어리들 같아.,분노
친구가 어떤 애한테 머리를 맞았대서 화가 치밀었어.,분노
조별 과제 때는 아무것도 안 한 친구가 다른 애들이랑 선생님들 앞에서 유세를 떠는 꼴이 아주 구역질 난다.,분노
지금까지 가족을 위해 희생하며 살아왔는데 유방암에 걸렸다는 사실을 알게 되어 힘들어.,분노
투자하다 실패할 수도 있다는 생각이지만 계속 실패한다면 문제가 있는 것이겠지?,분노
나는 연예인이 바람인데 선생님이나 부모님은 반드시 대학교에 들어가야 한다고 하셔.,분노
아빠가 모르는 여자를 데려와서 엄마한테 전화로 얘기해줬어. 잘한 걸까?,분노
노년이 되니 젊어서 지녔던 패기가 어디로 도망 간 것 같네.,분노
관절염으로 밖에서 사람을 못 만나니 너무 외로워. 내가 이렇게 살아서 뭣 하나 싶네.,분노
아니 대체 나랑 사귀기 전에 얼마나 많은 연애를 했길래 반응이 시원찮은지 모르겠어.,분노
취업을 준비하는데 모든 게 다 돈이야. 기업에서 요구하는 게 많아지면 많아질수록 그것을 전문적으로 가르치는 강사한테 배워야 하기 때문에 돈이 더 많이 들어가.,분노
딸내미가 요새 툴툴대며 얘기하네. 사춘기라 예민한가 봐.,분노
남편이 간암으로 죽어서 너무 힘들어.,분노
오늘 팀 분위기가 안 좋았어.,분노
왜 또 명절이 오는 거야? 정말 짜증 난다.,분노
고독의 시간이 많아지며 유대감을 상실한 것 같아 스스로가 무가치하게 느껴져.,분노
남자 친구가 이제는 날 사랑하지 않는다고 말해서 좌절돼.,분노
아니 진짜 짜증나 죽겠어. 애들이 매번 나만 키 작다고 놀리잖아.,분노
자식들이 내가 돈을 어디에 쓰는지 감시하기 위해 현금대신 카드를 주었어. 조금 힘들어.,분노
중간 시험을 준비하며 열심히 공부했는데 생각보다 성적이 낮게 나왔어.,분노
내가 건강이 나쁜 데다가 아직도 전세를 면치 못하고 있으니 누구도 이해하지 못해.,분노
수학점수가 너무 낮게 나와서 답답해.,분노
나는 에이디에이치디 때문에 어렸을 때부터 치료를 받고 있어. 친구들이 알게 될까 봐 걱정돼.,분노
어머니의 공부 잔소리가 이젠 지긋지긋해. 구역질 나올 것 같아.,분노
엄마 잔소리에 나도 모르게 엄마한테 심한 말을 했어. 이런 내가 지긋지긋해.,분노
질병 관리와 생계유지를 위해 아내와 가게를 차렸는데 장사가 잘 안 돼 가게 문을 닫게 생겼어.,분노
남자친구와 사소한 문제로 싸웠어. 속상해.,분노
너무 화가 나는데 어떻게 해야 할지 모르겠어.,분노
지금 너무 화나고 어이없어서 웃음만 나와.,분노
부모님이 헤어지고 엄마가 너무 보고싶어.,분노
검진을 받았는데 의사선생이 내 당뇨수치를 얼른 얘기해 주질 않네.,분노
소변이 마려워서 급한 마음에 아빠의 옷가지를 잡아당겼어.,분노
스터디만 하는 매일이 정말 구역질이 나.,분노
진로 문제로 요즘 부모님과 대화를 하는데 내가 원하는 걸 안 들어 줘서 방어적으로 대화하고 있어.,분노
요즘 건강이 나빠져서 예민해졌나봐.,분노
이 나이에 영업직 하려니까 실적도 안 나오고 만년 사원이야. 난 왜 이 모양일까.,분노
오늘까지 부모님 사인 받아 오랬는데 엄마가 출장을 가셨어. 학교에 가서 혼나면 어떡하지?,분노
아들만 선호하는 시부모님과 남편을 보면 아이도 낳기 싫어져.,분노
사람들하고 친해지려고 노력할수록 점점 멀어지는 것 같아. 이젠 뭘 어떻게 더 노력해야 할지 모르겠어.,분노
회사에서 승진한 뒤로 내가 요즘 너무 스트레스를 받고 있어.,분노
나는 반에서 은근히 따돌림을 당하는데 한 급우가 다가왔어. 무슨 의도로 다가온걸까?,분노
약을 먹어도 똑같은 걸 보면 의사가 제대로 진단을 못 하는 거 같아서 화가 나.,분노
글쎄. 오늘 경로당에서 도박을 하는 친구들이 결국 경찰에게 혼이 났지 뭐야.,분노
먼저 살던 동네 할머니가 돌아가셨다는 부고를 받았어. 오래 투병하셨는데,분노
동호회에서 마음에 드는 이성에게 먼저 번호를 물어봐서 연락을 했는데 답장이 오지 않아.,분노
