text,label
학교에서 따돌림을 당하고 있다는 걸 형에게 들켜버렸어. 창피해서 가족에게는 알려지지 않게 노력했는데.,0
숙제를 미리미리 해놓으니까 시간에 안 쫓기게 돼서 좋아.,1
초등학교 때 은사님을 얼마 전에 뵈었어. 어른이 돼서 은사님을 만나니 감회가 새롭고 기쁘더라.,1
엄마가 학교에 찾아와서 내가 당한 폭행에 대해 선생님과 상담하고 학폭위를 열어서 해결할 수 있도록 힘써 주셨어.,1
부모님은 착한 나보다 똑똑한 오빠를 더 좋아하는 것 같아.,0
딸이 유학을 가고 싶어 하는데 형편이 넉넉하지 않아서 보내주지 못했어.,0
나는 성격이 급하고 다혈질이라 뜻대로 안 되면 화가 많이 나는 성격이야.,1
일이 적성에 맞지 않나봐. 따분하고 힘들어.,0
내가 죽을 때까지 쓰고도 남을 것 같던 돈이 바닥났어.,0
먹고살려면 뭐든 해야 하는데 좀처럼 몸이 움직이질 않네. 하늘에서 돈이 떨어졌으면 좋겠다.,0
따돌림을 당하지만 내 옆에 있어 주는 친구가 있어서 너무 든든하고 안심돼.,1
부모님이 나에게 너무 집착하는 것 같아 너무 울고 싶어.,0
회사 동기하고 크게 싸웠는데 그때부터 일도 손에 잘 안 잡히고 힘들어.,0
진로에 대해 막막했는데 이번 진로 상담을 통해 내 길을 찾은 것 같아!,1
내 새로운 사업에 친구가 큰 도움이 될 것 같아서 든든해.,1
내가 가방끈이 짧아 그런지 어울리는 할머니들이 점점 멀어지는 것 같고 스스로가 참 한심하네.,0
나 오늘 직장에서 아주 당황스러운 일이 있었어.,0
짜증 나서 어쩔 줄 모르겠어.,0
친구들이 나만 빼고 여행을 갔어.,0
내 지인이 앞에서는 그렇게 나를 칭찬하더니 뒤에서는 내 외모를 가지고 험담하더라고.,0
직장 동료들한테 너무 화가 나.,0
딸이 요즘 사춘기인 것 같아서 걱정이야.,0
딸이 임신했다가 유산했대. 너무 마음이 아파.,0
노인정 친구가 맛있다고 해서 산 건강식품이 있는데 맛이 없어서 크게 실망했어.,0
남편이 계속 몸에 좋다며 이것저것 징그러운 것들을 잔뜩 사 오는데 짜증 나.,0
아내가 눈 수술을 하고 시력을 회복한다면 아마 산보다는 바다에 가자고 할 거야.,1
오늘 학교에서 선생님께서 빨리 달려와 주셔서 그 애들이 날 못 때렸어.,1
담임선생님이 왜 그 애를 보호하는 건지 이해가 안 되네.,0
고기보단 야채를 좋아하고 즐겨먹는데 이게 내 건강의 비결이 아닐까 싶어.,1
손자들이 내가 보고 싶다며 찾아왔어. 너무 기뻐.,1
전공이 잘 맞지 않는지 공부가 너무 어려워. 울고 싶어.,0
다른 친구들은 다 취직됐는데 나만 안 되었어.,0
우리 어머니는 나한테 의사가 되기를 강요하는데 난 너무 싫고 화가 나.,0
친구한테 돈을 빌렸는데 당장 안 갚아도 된대.,1
물혹이 처음 발견되었을 때 얼마나 긴장했는지 몰라. 큰 이상이 아니어서 기뻐.,1
은퇴 후 퇴직금이 넉넉해서 일자리를 구하는 동안 일을 하지 않아 너무 기뻐.,1
여자친구가 택시 타고 들어갔는데 전화가 없어서 걱정했었어.,1
매일 밤 잠들기가 어려워. 너무나 불안해.,0
우리 아들이 사기 혐의로 경찰에 구속되었어. 믿을 수가 없어.,0
나는 항상 왜 이럴까? 잘하는 것도 없고 하고 싶은 것도 없어.,0
결혼이라는 것은 정말 힘든 것 같아. 슬프다.,0
회사일 때문에 어제 술 한잔했더니 속도 안 좋고 너무 힘들어.,0
아들 결혼 자금을 거의 보태주지 못해서 그런지 사돈댁에서 우리 집을 무시하네.,0
며느리가 아픈 아내에게 맛있는 걸 사주라며 달마다 용돈을 보내줘.,1
어릴 때 부모님 말씀 잘 들어서 은행 다닌 게 다행이야. 금융 상품 가입 안 했으면.,1
입사 새내기지만 나는 우리 팀을 잘 이끌어 주시는 팀장님이 있어서 감사함을 느껴.,1
암 보험을 예전에 들어둬서 암 치료비 부담을 덜게 되었어.,1
며느리 덕분에 오랜만에 쇼핑을 했어.,1
오늘 처음으로 학교에서 실습을 하러 갔어. 내가 생각한 건 이게 아닌데 정말 후회된다.,0
생일에 가족들이랑 캐나다에 가기로 했어.,1
더 다녀봐야 알겠지만 친절하셔서 좋아.,1
사람들 만나는 게 싫어졌어.,0
단칸방에 홀로 사는 것이 너무 고독해서 힘들어 너무 우울해.,0
언제라도 사용할 수 있는 비상금을 비축해둬서 마음 한편이 정말 든든해.,1
은행에서 노후 대출 상담을 받았는데 직원이 상담을 아주 친절하게 해주더라. 참 고마웠어.,1
오랜만에 온 가족이 같이 저녁 먹으러 밖에 나갔어.,1
이번에 새로 옮긴 회사는 업무도 깔끔하고 동료들도 정말 좋아서 아주 마음에 들어.,1
눈 수술을 했더니 시력이 좋아졌어.,1
오늘부터 국민연금이 나온대.,1
내가 건강해서 경제활동을 할수 있다는것이 너무 다행이야.,1
아이들도 다 독립을 하고 나니 이제부터는 좀 재미있게 지냈으면 좋겠어.,1
편안하게 별말 없이 함께 산책할 동료들이 있어서 좋아.,1
요새 벗들 사이에서 내가 잘 어울리지 못하는 것 같아. 내가 뭘 잘못한 걸까?,0
오늘 가족들과 야구장을 다녀왔는데 너무 신났어.,1
나한테 여자친구가 생겼어! 선물하고 싶은데 어떤 게 좋을까?,1
우리 동료들은 일 처리가 깔끔해서 다시 검토할 필요도 없어.,1
이번에 면접을 두 군데 붙었는데 어느 회사로 가야 할까? 월급을 많은 곳이랑 퇴근 시간이 보장된 곳 중에?,0
오늘은 형이랑 집 정리하고 청소하니 깨끗하고 광택이 났어. 기분이 좋아.,1
요즘은 은퇴하고 뭐 하는 게 가장 좋겠어?,0
남편이 내 강박증을 못 견디겠다고 나와 이혼해버려서 너무 슬퍼.,0
퇴직하고 뭘 해서 먹고살아야 할지 걱정이야.,0
이번엔 공부 열심히 했으니까 분명 성적이 오를 거야.,1
요즘 회사에서 꼴 보기 싫은 사람이 너무 많아.,0
오늘 부모님께서 애인과의 결혼하는 것을 흔쾌히 허락해주셔서 기뻐.,1
동업하는 친구의 말만 믿고 가게를 확장했다가 매출이 반 토막이 났어.,0
이번 시험은 공부를 많이 안 해서 걱정됐는데 다행히 점수가 잘 나왔어. 너무 기뻐.,1
제일 친한 친구가 결혼하게 돼서 기쁘다!,1
요즘 회사에서 모든 일이 다 잘 풀려서 굉장히 만족스러워.,1
돈 버는 이유가 뭘까. 집에서 나는 돈 버는 기계 같아. 보람도 없고.,0
나 이번에는 성적표 엄마한테 자신 있게 보여드릴 수 있을 것 같아. 엄마가 분명 기뻐하실 거야.,1
이미 나이를 많이 먹으니 친구들과 만나기가 쉽지 않아.,0
나이가 들어서인지 코로나 때문인지는 몰라도 요즘 조금 우울한 느낌이 생겨서 고민이야.,0
맞벌이 때문에 아이들에게 신경 쓰지 못해서 미안해. 책임감 있는 엄마가 되고 싶어.,0
일하는 직원들이 자주 바뀌지 않으니 일을 할 때 편하고 손발이 잘 맞아 좋아.,1
반에서 따돌림을 당하는데 전부 방관만 하더라.,0
남편이 일에 지친 나한테 힘내라고 용돈을 줬어. 기분이 날아갈 것 같아.,1
내가 정신적으로 불안할 때 내가 기대고 의지할 사람이 없어서 너무 힘들고 슬퍼.,0
여자 친구와 결혼을 전제로 만났는데 얼마 전에 헤어졌어. 그래서 너무 안타까워.,0
오늘 신체나이 검사를 했는데 나이보다 열 살이나 어리게 나와서 정말 신나!,1
내가 중학교 시절 못된 친구한테 맞은 적이 있는데.,1
오늘 선생님이 나 괴롭혔던 애들을 혼내주셨어.,1
자식들이 내가 죽는 날만 받아 놓고 있나 봐. 상의 없이 내 이름으로 된 생명보험을 가입해뒀어.,0
결혼 생활이 너무 행복해.,1
우리 아내는 나 이외에 다른 사람은 사랑하지 않을 거라고 자신해.,1
가장 원했던 직장에 들어가게 됐어!,1
늦기 전에 진로를 바꾸고 싶은데 자신이 없어.,0
나는 나한테 커피 한 한 주면서 나를 다정하게 대해주는 동료들에게 늘 고맙게 생각하지.,1
아들 일로 너무 속이 썩는데 털어놓을 친구가 없어.,0
요새 많이 만족스러워.,1
몸 반쪽이 마비돼도 다시 움직일 수 있을 거라고 믿었어. 내 생각대로 다시 움직이게 되어 기뻐.,1
지금까지 담배를 계속 피운 것 때문인지 이따금 폐가 망가진 느낌이 들어.,0
오늘도 나는 한심한 짓인 줄 알면서도 그녀를 만나러 갔어. 난 정말 한심해.,0
이번 주에 병원에서 드디어 내 아이를 출산했어.,0
아빠가 운전을 하다가 사고가 날 뻔 했어. 사고가 나지 않아서 다행이야.,1
몇몇 세입자들한테 삼 개월 동안 월세를 안 받기로 했어.,1
남자친구가 평소에 갖고 싶어하던 선물을 해줬어. 너무 기뻐!,1
내 동료한테 요즘 아주 고마워.,1
요즘 회사 사람들과 영어 모임을 하고 있는데 친목도 다지고 공부도 할 수 있어서 너무 좋아.,1
전염병 시국이 끝나면 다시 인간관계를 회복할 것으로 자신해.,1
이럴줄 알았으면 노후 준비를 철저히 할건데 노후를 너무 소홀하게 생각했어.,0
아내와 같이 운동한 후로 더 건강해지고 사이도 돈독해져서 기분이 매우 좋아.,1
요즘 회사 사정 때문에 재택근무를 하는데 너무 마음이 편해서 행복하다.,1
딸이 자기 사진을 자주 보내 줘서 고마워. 그런데 한 편으로는 불안해.,0
직장 동료가 무단결근을 했어. 무슨 일이 있을까 봐 걱정되더라고.,1
서른 살이 넘도록 부모님에게 용돈 받아 쓰는 나는 혼자 할 수 있는 게 없어.,0
머리 좋았던 아들이 남편 실직하고 나도 병원에 입원해서 대학을 못 나왔어.,0
체중이 내려가서 너무 좋아.,1
온라인에서 마음 맞는 친구를 만나 기뻐.,1
직장에서 잘 다루지 못하는 컴퓨터로 하는 업무를 맡았어.,1
점수가 잘 나오지는 않았지만 열심히 노력한 내 모습에 만족해.,1
오늘 갑자기 나만 회사에서 해고를 당했어.,0
남편에겐 말할 수 없는 고민을 딸에게 털어놓으면 항상 진지하게 듣고 상담을 해줘.,1
술도 안 먹고 운동 많이 한다고 건강한 건 아닌가 봐.,1
이제 막내딸이 결혼했어. 내가 할 일을 모두 끝냈으니 죽어도 여한이 없어.,1
나 드디어 결혼해! 그래서 너무 편안해.,1
요즘 사람들 만나고 다니는 게 너무 행복해!,1
오늘 친구한테 고마운 일이 있었어.,1
아직까지는 은퇴부터 노후까지 내 계획이 차질 없이 진행되고 있어서 기뻐.,1
출산일이 다가오니 몸이 너무 무겁고 힘들어. 근데 남편이 집안일을 도와주지도 않아.,0
나는 노후 걱정이 없어. 아주 편안해.,1
건강관리는 느긋하게 하려고.,1
학교에서 따돌림을 당해서 외롭지만 가족들이 있어서 포근한 느낌을 받아.,1
간만에 손님들이 들이닥쳐서 눈코 뜰 새 없이 바쁘네. 정신이 하나도 없어.,1
내가 요즈음 소망하는 것은 말일세.,0
카페를 열었는데 내 딸 또래들을 보면 흐뭇해.,1
난 정신 분열이 있는데 부모님께서 너무 지나치게 간섭하고 통제하셔서 슬퍼.,0
나는 담배 같은 것 피운 적 없는데 맞을까 봐 내 것이라고 했어.,0
애 아빠는 매일 늦게 오고 애들은 먹고 치우지도 않아. 나도 이제 집에 들어가는 게 두려워.,0
우리 아이들이 무사하게 커 준 것에 요즘은 참 감사하네.,1
아이와 여행 다녀왔어.,1
사고로 장애가 생겨서 일을 못 하게 됐어. 앞으로 가족들과 먹고사는 게 걱정이야.,0
봄이 되면서 미세먼지와 그 외 사유로 비염이 더욱 심해지지 않을까 많이 걱정이야.,0
수능시험을 봤는데 다 망했어.,0
아들이 요즘 아침을 차려 줘도 먹지를 않아서 걱정되네.,0
결혼식 중에 아내가 눈물을 흘려서 나도 모르게 같이 울었어. 결혼하다니 눈물이 나.,0
보험금을 모두 투자해서 샀던 땅이 개발될 예정이래. 기쁜 소식이야!,1
형한테 항상 고마워서 선물을 사주고 싶어.,1
이번에 그녀에게 청혼하려고 해. 용기 내어 프러포즈 할 자신 있어.,1
오늘 내 손자 결혼식이었는데 할머니로서 큰돈을 보태줄 수 있어 뿌듯했어.,1
요즘은 친구들과 모임을 하지 못해 아쉬움이 많아.,0
남자친구가 어제 프러포즈를 했어. 어제를 떠올리면 아직도 눈물이 날 것 같아.,1
우리 담임선생님이 나를 문제아라고 생각하는 것 같아.,0
김 씨네 텃밭에서 내가 몰래 채소를 훔쳤다는 누명을 써서 너무 억울해.,0
나는 아내와의 결혼 생활에 매우 만족하고 있어.,1
연금이 나오는데 당뇨 때문에 병원비가 너무 들어가서 힘들어.,0
요즘 들어 병원에 가봐야겠다는 생각이 드네.,0
나는 앞으로 건강관리에 최선을 다할 거야. 돈 걱정은 없어서 많은 투자를 할 수 있어.,1
우리 가족들은 여지껏 사춘기인 나를 존중 한다고 생각 해.,1
암 걸렸다고 병원에서 우는 환자들 정말 이해가 안가.,0
오늘 남자친구랑 처음으로 여행을 가기로 했어.,1
나 그동안 뭐한 거지?,0
오늘 내가 곧 죽을 것 같이 생겼다는 말을 들었어. 그게 어른한테 할 소리야?,0
내 친구가 있으니 같이 담배를 끊을 수 있다고 확신해.,1
지금 다니는 회사가 너무 맘에 들지 않아서 우울해.,0
정년퇴직을 하고 아내에게 돈을 벌어다 주지 못해 눈치가 보여.,0
결혼식 준비 비용으로 고민이 많았는데 부모님이 큰 도움을 주셨어.,1
여자친구한테 저번에 내가 너무 심하게 화를 냈나 봐. 아직도 연락이 없어.,0
식자재를 할인 기간에 저렴하게 구매를 해서 다행이야.,1
언니가 원하는 대학에 가기 위해 공부를 열심히 해서 합격할 수 있을 거라고 생각해.,1
기분이 좋아서 친구들한테 한턱 냈어.,1
아빠가 출장 갔다 한 달 만에 돌아오셔서 기뻐.,1
난 아들만 둘인데 아들들이 나하고 대화를 안 하려고 해. 고립된 느낌이야.,0
병원 갔다 왔는데 치매래. 나 아프면 남편이 내 수발 다 들어줘야 하는데 미안해서 어떡해.,0
은퇴 후에 귀농하려고 땅을 좀 구입했어. 너무 기뻐.,1
나 창업할 것 같아. 잘할 수 있을까? 기대도 되고 걱정스러운 마음도 들어.,1
상사 분이 승진하셔서 짧은 축하 편지를 드렸어.,1
엄마가 내가 이번 시험 잘 봤다고 최신 스마트폰으로 바꿔주시겠대! 너무 좋아.,1
매일 야근이야. 남편 얼굴 못 본 지 일주일이 넘었어. 몸도 너무 피곤하고 괴롭다.,0
운동 때문에 회식을 못 갔어.,0
여태까지 내가 봤던 시험 중에서 점수가 가장 잘 나와서 너무 기뻐.,1
오늘 성적표가 나왔는데 내가 반에서 일등 했어.,1
오랫동안 고대해오던 직장으로 취업에 성공했어.,1
요즘 너무 화나.,0
이제 이 년만 더 있으면 은퇴야.,1
화가가 되고 싶은 꿈을 말했는데 엄마가 응원한다고 말해 줘서 너무 기뻐.,1
짝사랑하는 선배랑 사귀기로 했어.,1
열심히 하면 할수록 성적이 떨어지는 걸 보니 내 자신이 한심하게 느껴져.,0
난 요즘 등에 큰 바위를 지고 있다는 생각이 들어.,0
이제 노후 준비가 완벽하게 되었어! 나 기분이 너무 좋아.,1
요즘 들어오는 직원들이 일을 참 잘해.,1
너무 마음이 상쾌해.,1
아내가 유부녀임을 아는데도 다가오는 남자가 있다고 해. 너무 분노가 차올라.,0
사과로도 충분하다고 생각하는데 학폭위까지 열어서 짜증 나.,0
엄마는 동생이 잘못해도 내 책임이라며 나를 혼내셔서 정말 억울해.,0
언제부턴가 가족들이 나한테 말도 안 걸고 내 말은 통 듣지도 않네. 내가 왕따가 된 건가 아니면 다들 그러고 사나?,0
얼마 전 친구와 오해가 있어서 다투었는데 다시 예전처럼 친해지기가 어려울 듯해.,0
노년이 되고 치매 진단을 받게 되었어. 너무 망연자실해.,0
너무 기분이 좋아!,1
택시 타고 가다 가방을 두고 내렸는데 택시기사님이 신고해줘서 찾을 수 있었어. 정말 너무 기쁘고 감사하더라.,1
다행스럽게 이번 보직변경에 내가 포함되지 않았어.,1
드디어 나를 편안하게 해주는 남자를 만났어.,1
내가 팀장이라고 팀원들이 잘못을 저지를 때마다 책임을 져야 한다는 사실이 조금 억울해.,0
아들이 그간 고깃집에서 아르바이트해서 번 돈을 모아 아내와 함께 여행을 보내줬어. 참 대견하고 고마워.,1
요즘 환절기라 감기 기운이 있어. 안 그래도 코로나 때문에 불안한 시기인데 말이야.,0
남편이 사업 때문에 내 명의로 대출을 받아달라고 해서 싫다고 했는데 자꾸 말해서 화가 나.,0
수학 대회 준비를 열심히 했더니 만족스러운 결과가 나왔어.,1
폐렴 진단을 받았어. 그런데 담배를 과연 끊을 수 있을지 자신이 없고 불안해.,0
오늘 아주 좋은 일이 있었어. 내 친구 민수 덕분에 왕따가 해결됐거든.,1
라식하고 이제 눈 붕대를 풀고 있는데 너무 기대돼.,1
내가 여유가 있어서 자식들이 문제가 생겼을 때 종종 연락이 오더라고.,1
모아놓은 돈도 충분하고 이 정도면 노후엔 문제없겠어.,1
우연히 남자친구가 헤어진 전 여자 친구를 잊지 못하고 있는걸 알아서 상처받았어.,0
나 이번 영어단어 평가에서 백 점 받을 수 있을 것 같아!,1
나 오늘 공항에서 내가 제일 좋아하는 연예인 봤어!,1
아들이 퇴원을 기념하며 꽃다발을 들고 왔어. 난 정말 기뻐.,1
이제 마흔 중반인데 벌써 몸이 아픈 것 같아.,0
프로젝트 진행 중에 나와 의견이 달라 불만이 쌓인 팀원이 있는 것 같아 마음이 쓰여.,0
항상 나보다 예쁜 동생을 보고 있으니 나도 모르게 신경이 쓰여.,0
이젠 나이 들었다고 젊은 사람들이 나만 빼고 자기들끼리만 통하는 것 같아.,0
얼마 전에 친구한테 너무 강압적으로 말한 거 같아 후회가 돼.,0
나한테는 비밀을 털어놓을 수 있는 친구가 있어서 기뻐.,1
도시에서의 삶이 너무 지쳐서 시골에 정착했는데 벌써부터 건강해지는 기분이 들어.,1
나 정말 화가 나 죽겠어.,0
사장님이 자유분방한 분이라 사무실 분위기가 아주 편해.,1
학교에서 나를 못살게 구는 아이에게 이제 그만하라고 당당하게 말했어. 속이 시원해.,1
나랑 같은 병에 걸린 사람을 위해서 기부했어.,1
우리 동아리에서 이번 응모전에 나가게 되었어.,1
나이를 먹어가니까 아내보다도 더 필요한게 친구인가 보네.,1
이번에 대기업에 취직해서 기분 좋다. 아주 만족스러워.,1
노후를 생각해서 업종을 바꿔 이직했는데 적성에 잘 맞아. 정말 다행이야.,1
일이 힘들 때 조기 축구 할 생각만 하면 힘이 나!,1
친구가 이번에 보이스피싱을 당했다는데 나도 노년자금을 사기 당하면 어떡하나 불안해.,0
정말 스트레스를 많이 받을 때 제일 도움이 많이 되는건 부모님인 것 같아.,1
나도 이제 진로를 정해야 하는데 자꾸 게임이 생각나.,0
우리 아이들은 공부를 잘하지는 못하지만 크게 아픈 곳 없이 잘 자라주었어.,1
난 할머니가 너무 좋아. 오랜만에 우리 집에 오신대!,1
이직한 직장의 자유로운 분위기가 맘에 들어.,1
나는 노인정 친구들을 정말 믿어.,1
나 정말 나 자신이 한심해 못 견디겠어.,0
지금 모아 놓은 돈으로 은퇴 후 잘 살아갈 수 있을지 모르겠어. 혼란스러운 마음이 가득해.,0
요새 회사에 대한 고민이 많아.,0
곧 만기 은퇴를 앞두고 있어. 노후 준비를 미리 꼼꼼하게 해두어서 기뻐.,1
아내가 눈이 안 좋아 앞을 못 볼까 봐 걱정했는데 수술을 받으면 문제없대.,1
이번 달 실적이 좋아서 인센티브를 많이 받게 되어 기뻐.,1
아들이 대학에 떨어져서 슬퍼했는데 오늘 추가합격으로 합격해서 정말 기뻤어.,1
유튜버가 되고 싶은데 상담 때 말하기가 조심스러워.,0
애들을 다 키워놓으면 뭐 해. 와이프가 이렇게 갑자기 떠나다니 더 살아갈 희망이 없어.,0
최 영감은 빌린 돈을 꼭 갚을 사람이라고 믿는다.,1
은퇴를 했지만 먹고 살 수가 없어서 다시 직장을 알아보게 되었어. 이런 상황이 너무 억울해.,0
아이들과 더 좋은 곳에서 살기 위해 월급을 모두 대출금 상환에 쓰니 생활이 어려워.,0
나는 꼭 자상한 남편을 만날 거야!,1
오늘 경찰서에서 연락을 받았어. 내 돈을 훔쳐 간 도둑을 잡았다더군.,1
엄마가 주말에 캠핑 갈 예정이라고 하는데 정말 행복해.,1
같이 공부하던 친구들과 함께 노력하고 서로 응원을 해서 가고 싶은 대학에 갈 수 있게 되었어.,1
회사에서 나의 노고를 인정하여 연봉을 올려주어 기뻐.,1
내가 몸이 불편하다는 이유로 부모님께 너무 도움을 받았는지 이젠 아무 의욕이 없어.,0
재정이 넉넉해서 두 아이를 모두 유학을 보내게 됐어.,1
고등학생 딸이 남자 친구랑 단둘이 여행을 가겠다고 떼를 쓰는데 화가 나서 어떻게 해야 할지 모르겠네.,0
내가 일을 하지 않고 정년퇴직을 해도 가족들은 격려를 해줄 것이야.,1
일진이랍시고 내 친구를 괴롭히던 애가 있었는데 괴롭힘 사실이 드러나서 전학가게 되었대!,1
우리 남편은 무슨 일이든 털어놓을 수 있는 사람이야.,1
코로나 일구 때문에 계획하던 시험이 취소됐어. 지금까지 준비한 게 헛된 것 같아서 억울해.,0
믿었던 선배가 직장에서 비리를 저지르고 있었어. 너무 충격적이야.,0
일을 못 하게 돼서 딸한테 경제적으로 의존하는 스스로가 한심해.,0
내가 몸이 약해서 걱정하는데 남편이 아무 일도 아니라고 쉽게 말해.,0
나이가 들어 죽음이 다가오고 있지만 그래도 인생이 만족스러워.,1
우리 가족은 다른사람 신경을 많이 써.,0
아르바이트하는 곳에서 사장 물건을 훔친 도둑으로 오해를 받았어.,0
남편이 요즘 회사 일로 바쁜가 봐.,0
아빠는 내가 필요한 용돈을 자주 챙겨주셔서 기뻐.,1
늙으신 부모님은 아직도 내가 방문할 때마다 차 조심해서 가라며 용돈을 주셔.,0
만성 기침으로 반년 동안 고생했는데 완치가 되어서 숨쉬기 편해졌어.,1
사업을 하는 둘째 아들이 아내 고관절 수술비를 다 내줘서 너무 기분이 좋아.,1
내 취업을 위해서 뒷바라지 해주시는 부모님을 생각하면 항상 눈물이 나.,1
이웃 사촌이 내 험담을 하고 다닌다는 얘기를 들었어.,0
나 오늘 어이없게 해고당했어.,0
틈만 나면 나를 때리는 친구가 있어서 인적이 드문 길로 걸어 다녀야 해서 불안해.,0
건강 상태를 보고 상처 받았어.,0
여자 친구랑 계획을 짜고 있는데 자꾸 입고 갈 옷이 없대서 성가셔.,0
내가 공부를 잘 해서 따돌림 당한거래. 그게 어떻게 사유가 되지?,0
내가 하고 싶은 일을 찾아서 기분이 좋아.,1
나는 연기자를 하고 싶은데 부모님은 불안정하다고 응원해주지 않아.,0
오늘도 학교에서 애들이 한 사람만 왕따시키더라.,0
부모님이 학원 다니는 것부터 친구들 만나는 그것까지 다 간섭해서 너무 화가 나.,0
학교 애들이 자꾸 나만 괴롭혀. 슬프다.,0
이 나이 먹고 대인관계로 당황하게 될 줄은 몰랐어.,0
내 우울증 때문에 남편이 무슨 말을 해도 자꾸 삐딱하게 대꾸하게 되는 나 자신이 너무 슬퍼.,0
유학 생활 중인데 여기 현지 사람들이랑 좀 친해져서 여유가 생기네.,1
성적이 안 나와서 엄마한테 엄청 혼날 거 같아.,0
작년 이맘때쯤 건강검진을 했는데 지방간에 혈중 콜레스테롤 수치가 조금 높다는 말을 들었었어. 하지만 다행이야.,1
늦잠으로 학교에 급히 오느라 신발을 짝짝이로 신었는데 사람들의 시선이 신경 쓰였어.,0
정말 일에 치여서 밥맛도 없고 현기증 난다.,0
죽음이 언제 올지 모르지만 그래도 후회는 없어.,1
내 남편은 게임에 돈 것 같아. 어제도 열 시간 넘게 게임을 했어.,0
확실히 자식은 많아야 좋아. 키울 땐 힘들어도.,1
나는 가난한 남자와 절대 결혼할 생각이 없어. 나도 엄마처럼 될까 봐 항상 불안했거든.,0
마음을 졸이고 있었는데 원하던 고등학교에 합격했어.,1
나는 활발한 성격이라 항상 친구가 많았어. 지금도 우리 마을에서 내가 친구가 제일 많아.,1
일을못하니까 경제적으로 어려워.,0
교수님이 나를 회사에 추천해주셨어.,1
승진을 앞두고 그 어느 때보다도 열심히 준비해왔던 프로젝트를 실패하게 되어서 너무 슬퍼.,0
오늘은 남편의 존재도 잊어버렸어. 정신이 돌아오고 남편의 얼굴을 보는데 눈물만 났어.,0
결혼을 못할 줄 알았던 딸이 좋은 사람을 만나 결혼하게 되어서 정말 안심이야.,1
어제 여자친구와 선약이 있었는데 감기 기운이 있어서 쉬어야겠다며 전화를 했어.,0
수술비 때문에 대출을 했었는데 취소하게 되었어.,1
싸웠던 친구와 화해를 했어.,1
이번에 취업에 성공했어! 어려웠던 과정이라 도와준 사람들에게 정말 고마워.,1
김 씨는 나랑 음식 취향이 정말 안 맞는 것 같아.,0
취업했는데 출근을 할지 고민이야.,0
친구한테 돈을 빌려줬는데 일주일 만에 갚겠다고 했는데 열흘이 지나도 연락도 없네.,0
이번에 좋은 제안이 들어와서 이직하게 될 거 같아.,1
젊을 때부터 건강관리를 안 하며 살았는데 감사하게도 지금 건강해.,1
할 일이 없네.,0
지난주에 정말 가고 싶던 회사에 원서 접수했는데 합격했어. 매우 기뻐.,1
기술직으로 먹고사는 게 자부심이 들 때도 있지만 이따금 무시를 당하는 거 같아 화가 나.,0
드디어 남자 친구랑 결혼해.,1
우리 담임 선생님은 너무 좋아.,1
내가 내 또래 아줌마들 중에서 제일 건강할 거야 아마.,1
