sentence,label
저렇게 언론플레이하면 국민들이 속던시대는 지났다. 폐간 조선일보!,Origin
"""여기 네이버 댓글들 거의 쪽바리 후손인것 같다...""",Origin
중국인은 나오지마라,Origin
"""갱상도라 불안한거제.""",Origin
"""여기 쪽바리 엄청 많네? ㅎㅎ""",Origin
쯔쯧... 내가 저럴 줄 알았다 역시 연예계는 구려~ 내가 이래서 연예인들이랑 거리두고 지내는 거임. 연예인이랑은 친분 만들지마라. 알려진 모습과 실제 모습 엄청 다르다. 연예인놈들이 하는 말은 90프로가 거짓과 허풍이라고 보면 됨.,Origin
"""쪽바리도 쪽바리지만 같은 민족이면서 등 뒤에서 칼꽂고 빨대꼽는 양아치놈은 더 싫다""",Origin
"""투기해서 돈벌거면 서울경기도지역에 투기하지 뭐하러비전도없는 목포에다하겠는가""",Origin
아이돌들은 진짜 ㅋㅋㅋ 아이돌일뿐이다 ㅋㅋ대선배님들 모든가수가 라이브 하는데 립싱크하는거 진짜 편하게 산다 니들ㅋㅋㅋ,Origin
"""너같은넘이같은국민이아니지? 쪽바리임이틀림없다""",Origin
"하필 짱깨야.하필.그리고, 누가봐도 애인사이 아니여. 우리가 바본가!런낭맨 하차하세요.",Origin
이래서 사람 학력이 그사람 인격을 말해줌초졸이드만 정규교육과정도 제대로 안거쳤으니인성이 제대로 됐것냐?,Origin
"""외놈기업들전부일본으로가라""",Origin
와..악플러들 욕하는꼬라지보소..우리나라 사람들 욕하는 클라스 오지네ㅡㅡ,Origin
"""쪽본 이젠 거의 암덩어리 수준이네 중국과 막상막하""",Origin
"""그래서~ 매춘 하는놈이 일본놈 이었던가? ㅉ""",Origin
"""그냥 뒷모습만 찍은건데 퇴학도 김치페미민국 아니면 너무 심하지""",Origin
사실도 아닌 추측가지고 사람하나 마녀사냥하는 조선인 클라스 어다 안가죠 ㅋㅋ 아 박근혜탄핵도 이런식으로 이뤄졌지? ㅋㅋㅋ LED촛불 가지고 말이야 ㅋㅋㅋ LED 촛불 ㅋㅋㅋㅋㅋㅋㅋㅋ,Origin
"""일본은 모든게 이상해요 숨기고,척하고,음융하고...!""",Origin
"""그짝동네에선 강간도 스포츠라면서 전남쪽은 해떨어지면 여자들 혼자서 밖에도 못나간다며""",Origin
"""현장체포자 상관은 분명 전라도놈이다""",Origin
"""중국땅이 모두 바다에 잠겼으면 좋겠더""",Origin
"""외신보다 못한 왜신은 걸러 쪽바리촌왜신""",Origin
"""짱깨는 자국으로 추방해라""",Origin
"""이참에 아주 쪽바리 물건들 창고에서 빛을 보지 못하게 해버리죠""",Origin
크 역시. 현아가 저런 짱깨배달부 같은 넘이랑 사귈 일이 없지~,Origin
또 한국식 미투 우웩,Origin
"""세상에서가고십지안은곳 광주랑께""",Origin
"""일본쪽빠리들만 한국출입못하게 해라~""",Origin
"""원래 사람은 끼리끼리 노는 거여~^^- 몰랐쑤? 홍어는홍어끼리 ~~그치요?""",Origin
한마디만 한다 성접대 횡령 다 용서 할 수 있어.. 하지만 전라도라는건 용서 불가다,Origin
"""짱개 클라스 오지네 ㅎㅎ 전라국과 동급.상위호환""",Origin
중공놈애를 낳아서그런가 왜그래?병원을 좋은곳으로가던지 ㅎ,Origin
"""끝까지우한 코로나 조선쓰레기야 대구코로나로 기사써라""",Origin
착한짱개는 죽은 짱개다. 이 말 명언이다.,Origin
"오죽하면 꼴떼. 무늬만 한국기업, 실체는 쪽바리 기업! 롯데는 미투운동 안하나?",Origin
"""대구 경북 참 문제다""",Origin
"""죠센징이니 거짓말햇겟지""",Origin
"""짱개들 사드 보복 생각하면 치가 떨린다""",Origin
"""전투기 뜨는순간 전쟁임. 그럼 그때 우리나라에 있는 쪽발이랑 친일파부터 죽일거임""",Origin
야니네나라로돌아가제발짜증나니까,Origin
"""쪽바리 나라에서 있는 교수인데 어련할까. 세삼스럽지도 않다. 정상인게 더 이상한 나라.""",Origin
성형추녀,Physical
송혜교 이제 얼굴 보기도 역겹다. 홍콩으로 가던지 중국으로 가던지 해라.,Physical
"""귀걸이가 피어싱 아빠 아님?? 생긴거 보니깐 양아치인데 ㅋㅋ""",Physical
면상만봐도 징그럽다 이제 토나옴,Physical
진기주 이뻤는데 왜저모양저꼴이됐니 와꾸 개조 시급하네진짜,Physical
사쿠라 쟤는 얼굴은 갠춘한데 힙이 납짝하고 다리가 짧아서 아님,Physical
못생겼다고 여자들 표 몰아서주네 ㅋㅋㅋ,Physical
"""생긴게 진짜 찌질이 그짝 그대로네""",Physical
못생겼어.... 그녀들만의 러블리,Physical
설리처럼 당당하지 못한 너희의 뱃살과 얼굴을 욕해라,Physical
"""어릴때부터 악바리처럼 못되게 생깄네., 김제동이 꼭 지닮은거 포장잘된거 찾았네""",Physical
강남에흔한 얼굴 너도나도같은얼굴,Physical
"""뚱녀가 아니라서 기분이 안나쁘당 ㅋㅋㅋ""",Physical
"""그동안 계속해서 오지랖을 뜰더니만 더디어 돼지한테 오지랖 한방 먹었네---ㅎㅎ""",Physical
지수 못생기지 않았음?? 약간 장애인같이 생겼는데...,Physical
이제 못생긴것들만 봐야하네,Physical
쿵쾅이들아.. 니들은 튜닝해도 저렇게 안 나와 제발 좀 진정들 해라...,Physical
걍 못 생겨서 성형수술을 했는데 이뻐 졌다고 해‼️,Physical
오마이걸 유아도 입술에 필러 맞아서 돼지 되었는데 왜 현아만 뭐라하는겨 이쁜데,Physical
"""ㅋㅋ끄덕 여자랑대화한번도못섞어본애마냥생겼네""",Physical
"""얘처음볼때부터 싸가지없이생겨서 난시러했지""",Physical
쟤진짜 얼굴 갈수록 이상해져. 무너진다.. 턱도 얼마나 깎아댔는지..비율 하나도 안 맞다,Physical
"""생긴게 토람프비슷하노??""",Physical
"""느끼하게 생겼네..원초적으로 이런놈이네""",Physical
왜 아이유처럼 못생긴 애들을 롤모델로하냐,Physical
"""ㄴㄴ수술전 못생김 지금도 걍 별로""",Physical
"""욕도 아까워 저 면상..""",Physical
김태희보다 얼굴은별로 할매같아요,Physical
코가 이상해요. 사진 각도 때문인가?? 코가 왜 저러지,Physical
이아줌마도 눈성형 넘 티나네...마귀할멈돼가네,Physical
"""얼굴이 왜그럼 진짜기네""",Physical
"""저 곰보자식 얼굴 생긴대로 깝죽대네~ㅋ""",Physical
"""못생긴거알면 여자 번호 따지마 그러게 왜 못생겨서 일을 만드냐""",Physical
"""주광덕은. 조국의. 발톱새. 때보다. 못생겼다""",Physical
미친!너나잘하세요!사기꾼주제에누굴비하하니?몬생긴게주제안맞게꼴갑은!,Physical
"""생긴것도 기생오라비처럼 생겨서는....하는짓하고는....쯧쯧""",Physical
"""솔직히 한국사람중 일본찬양하는 찌질하게생긴 오타쿠들 많아요 ㅋㅋ""",Physical
같은여자라도 이쁜여자가 좋지 못생긴 화사 별론데화사 섹시한척하면 더러워보여,Physical
"""관상 봐라 욕심이 얼굴에 덕지 덕지""",Physical
"""토나옴 저 면상 보면""",Physical
"""생긴것도 완전 걸레같네,""",Physical
관리 안하는 돼지 아이돌아저씨 안나와서 좋았다,Physical
얼굴이 너무 못 생김,Physical
냄새나게 생겼어. 연상녀가 아까와 보이긴 첨이다,Physical
신혜선은 근데 왜 어느순간 폭삭 늙었냐...,Physical
왼쪽여자 가슴 껌딱지,Physical
"""못생기묜 아갈쓰닥쳐줘잉""",Physical
"""생긴거하곤...관상이 믿을구석이 없어 보이는데... 야비한 모사꾼 얼굴도 보이고.""",Physical
사진이 죄다 인면조 같이 나오네. 다 어디 필러 한 대씩 맞고 왔나 봐. 진짜 인조미 풀풀 난다.,Physical
얼굴비교하는애들 특징: 본인얼굴 부끄러워서 남얼굴 욕하기바쁨,Physical
헐 발이왜저래진짜못 생겼다,Physical
신영이는 화장을 해도 이계인같네 ㅋㅋㅋ,Physical
"""하다하다 별 짓거릴 다하네. 돼지 다음에 해골녀 ?""",Physical
"""영변 말고는 숨기다가 들통난 정은 돼지 ㅋㅋ""",Physical
문뚱땡이랑 이탈영ㅋㅋㅋㅋ,Physical
"""저얼굴좀 모자이크해라 울화병 터진다""",Physical
진짜 행주 빨다 만 면상이네ㅋㄱ,Physical
자핑아 개그맨들 얼굴 겁나게 따진단다..,Physical
"""얼굴 딱 사탄처럼 생겼네 하느님이 싫어할관상""",Physical
나는 얼굴은 못 생겨도 뚱뚱한 여자랑은 못 살겠다..대단하네 남자..,Physical
"""아줌마~ 품위라고는 눈꼽만치도 없고 너무 못생겼어~ 국회의원보단 집안일 하세요~""",Physical
엘제이 제2의 고영욱이다 진짜 더럽게 생겼는데,Physical
문재인알바와 신적폐는 일베가 잘못됐다고 주제도 모르고 개솔하고 다니지만 정작 문재인추장자도 일베랑동급인거 알만한사함은 알지 도진깨진,Physical
"""관상 자체가 글렀다 너무 키워줬다 노력이라곤 1도 안하던데""",Physical
돼지살더쪘네 ㅋㅋ 진짜 존못,Physical
그래바야 연중 미녀순위 35등 설현>38등 아이유 오징어는 찌그러지자ㅋㅋ,Physical
못생겼는데 왜자꾸 훈남이래 극혐.....,Physical
남자가봐도 비는 진짜 못생김... ㅋ,Physical
못생겨보여서 못알아봄ㅜ 나이가 들어서 인지 손을 댄건지...,Physical
얼굴파느라 애쓴다.갈수록 비호기ㅡㅁ,Physical
노래못부르게 생겻는데 점마 노래 잘함?,Physical
강용석 사기꾼 관상아니냐 관상쟁이들아,Physical
"""이해찬 이 마귀할멈같이 생겨가지고 니가왜 유공자야""",Physical
"""생긴것부터 찐득거리게생겼잖아 인간은 생긴대로논다""",Physical
"""나씨 성형얼굴 그만보보시어""",Physical
"""그러면서 돼지들은 왜 조선에 기웃거리냐 ㅋㅋㅋ 기웃거리는 것들이 너무 많잖아 또 ㅋㅋㅋ""",Physical
생긴거부터 호감안감,Physical
안봐서 모르겠는데 토니가 젤 낫다는 댓글보니.. hot 비쥬얼 캐 안습인가보다..,Physical
"""돼지야 우리도미치것다 아직도2년이나 남아서 어떻게 좀해줄려?""",Physical
"""우리윗집 돼지 문신충도 지밖에 하루 종일 안나감 ㅋㅋ 심지어 형제 두명다 돼지 문신충""",Physical
댓글에 열폭하는 못생긴것들 ㅋㅋ,Physical
나르샤가 못난이는 아닌데.. 제대로 오징어 만들어버리네,Physical
지성 특징:개못생김,Physical
초딩몸매를 또 갖고 싶냐,Physical
어째 얘는 꾸며도 그냥 몸을 막굴리는애같이 좀 천박해 보여서 싫다,Physical
"""여자가 뚱땡이인가보네 ㅋㅋ 뚱뚱한 애들이 성격도 더러움""",Physical
김숙도 안와감압술 수술좀 받아야겠더라..,Physical
첨보는 친군데 요즘은 저런 와꾸도 아이돌??,Physical
"""빨리 핵포기 좀 해라 돼지자슥아""",Physical
"""니가 결혼못하고 애 못낳는건 사회탓이 아니라 너가 못생기고 무능한거야 ㅋㅋ""",Physical
"""돼지 잡고 북도 해방시켜라""",Physical
예전얼굴이 남자답고 괜찮든데..지금은 외국인형 토토같다.. ;;; 그만멈추길,Physical
팬텀명~빻지~졸 못생겼음.빻지,Physical
"이종수 6,70년대 미남스타일지. 요즘은 저런얼굴은 니끼한 얼굴.",Physical
"""니가 젤 무례하지 돼지야""",Physical
"""살인집단 김돼지로 끝내자.""",Physical
못 생 . . . .,Physical
솔직히 넘 뚱땡이야ㅡㅡ 결혼도했는데 아무리퉁땡이 좋아해도 애도낳아야지ㅡㅡ 얜 넘 돼지야...ㅡㅡ숨쉬는게 신기해...살빼면 진짜 이쁠꺼같은데... 응원한다ㅋㅋ30키로 빼길!!!!,Physical
성형을 해도 신봉선씨랑 똑같네,Physical
"""생긴게 빨갱이네~~~""",Physical
"문씨 일파들이 여기와들 댓글공작하는구나. 세월호 더깊은 곳에 빠져서 건지지를 못했어야 했다.그리고 해상교통사고를 이렇게 까지 정치적으로 이용하는걸 보니, 문씨가 고맙다고 할만 하네",Politics
"""글치! 자한당것들 집회클라쓰가 글치!! 폭력에 성추행은또머여??ㅎㅎ""",Politics
"중국 욕하지마세요문재인 갓통령님이 얼마나 중국과의 동맹을 강조하시는지 아십니까? 이런거 하나하나가 중국한테 밉보이는 짓입니다네이버 댓글들 번역해서 중국네티즌들이 퍼가니까 옥,중국비하 댓글 삭제합시다",Politics
"""2020년인데도 쪽바리매국노당이 있다는게 선조들한테 안부끄럽나?""",Politics
좌파 정권 바꼈다고 홀랑 버리네좌파들 공장노동자들 아무생각없이 히히득거리기 좋은 강식당 같은 예능이나 쳐만들고 ㅉㅉ,Politics
"""좌익뺄갱이 추수꾼!""",Politics
"""좌빨 어버이연합이네 진짜 얼굴얘기하긴 시른데 정신나간것들처럼 생김""",Politics
"""빨갱이에 놀아나는 개도ㅐ지 국민수준에 딱맞는날씨구만ㅋㅋ""",Politics
"""문재앙 탄핵되면 끝날 일임""",Politics
"""자위한국당 지자체장 할때는 눈이오든말든 제설자업같은거 겨울내내 신경도 안쓴다""",Politics
"""좌파들은 자기당 일에는 합리적 의심조차 할 줄 모름. 사이비교주 섬기는 신도가 그렇잖아""",Politics
빨갱이들이 왜 나대냐 개더럽게,Politics
"""문죄인 이놈을 그냥 우한으로 보내자""",Politics
"""고마해라 대깨문아! 그래서 문재앙이는 어떠냐?""",Politics
난 문재인과 문주당이부끄럽다.유역비 ㅡㅡㅋ,Politics
문재인이 뭘 덮으려고 이러나..,Politics
"""민주당 선거용반일프레임에 놀아나는게 개돼지지""",Politics
무도 정리해고 아녀? 이명박근혜때 파업 안해서 폐지 하는거 아닌가? 다음프로는 김재동김미화 이런사람들나오는 방송하나?,Politics
성추행계 박그네닷!!!,Politics
바나나 알러지 원숭이ㅋㅋㅋㅋㅋㅋㅋㅋ 안철수 알러지 원순이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Politics
이슈로 이슈를 덮는다 문재앙.,Politics
"""문노스.. 어디하나 남아나는게 없네...""",Politics
에휴 문재앙은 뭐했냐;;이게 나라냐??;;,Politics
"""대께문들은...까스통 틀딱들보다 더하면 덜하진 않는다. 사이비교주밑에 광신도수준이네""",Politics
"""미친방송 걍 유튜브나 해라 세금이 아깝다 좌빨들은 혈세를 지돈처럼 다 퍼줌 끼리끼리""",Politics
"""좌빨이 사라져야 하는데""",Politics
"""국민들 얄팍한 포킷 털어 복지예산 짜는 빨갱이 정부...""",Politics
"""미친 정신병자..북에 돈 주고 싶어 환장함.. 재앙이로다 디재스터문""",Politics
문재앙 탄핵! 자한당 만세!! 강원과 대구가 뭉쳐야 산다!!,Politics
"""저 경찰관이 대깨문이었나보네, 자기 감정 실어서...쯧..지가 중국공안도 아니고~!!!""",Politics
"""빨갱이 프레임 지겹긴하네""",Politics
자유 망국당이 싸지른 법꾸라지들이 법을 몽땅 하수구에 버리네,Politics
"""문죄인 땜시 굶어 죽게 생겨서 자한당한테 표 줄란다""",Politics
"""여윾시 더듬어 민ㅈ당""",Politics
"""문재이니가 직접 가세요! 목숨걸고 지휘하삼! 지금 이 상황에 남북전쟁 날 일 없으니""",Politics
"""한국당이었음 무조건 나는몰라 검찰찬스썼겠지 다 덮어주시는분들인데~^^""",Politics
"""인성더러운 문슬람의 프로파간다에 휩쓸린 불쌍한 노인들""",Politics
"""조국이 무슨 사이비 종교냐? 묻지도 따지지도 않고 지지??""",Politics
"""난 중국 일본 코로나보다 ㅈ앙이랑 대깨들이 더싫다""",Politics
"""좌빨언론노조 선동에 역겹다! 국민들 생각과 나경원과 일치한다""",Politics
"""재앙이가 물에 빠졌어야지 삼성을 칭찬할건데""",Politics
문죄인 또 쑈 할려고 전화 연결할듯 ㅋ,Politics
"""아직도 반일하는 원시인들 있냐? ㅋㅋ""",Politics
"""그냥 사소한것까지 일상 모든게 재앙이야 이놈의 정권은""",Politics
나라에 망조가 들었다 문빨갱이씨 때문에,Politics
원래는 여기서 문재앙이라 떠드는 넘들도 쥐도새도 모르게 잡혀가 고문하고 쳐죽였을거다. 우리가 언제 살아있는 권력을 이렇게 욕해본적이 있었냐? 불과 얼마전인 이명박근혜 때만해도 민간인 사찰하고 블랙리스트 만들어 주위사람들까지 괴롭혀 등신만들었는데? 욕할때 욕하더라도 마음 깊은곳에선 고마워해라.,Politics
문재앙은 암 안걸리냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Politics
그 국민 1인당 지분이 5000만분의 1인데 지가 다인줄 아는 문빠가 문제,Politics
"""좌빨대깨문 탈출은 지능순이다 원숭아""",Politics
이걸로 밀양화재 덮으려구요? 문재인씨? ㅎ,Politics
문재앙 니나 귀걸이 아들 조사해라,Politics
문재앙......진짜 그만해라 이제 소득중심성장 이거좀 갖다 버려 제발,Politics
"""문베충 출현!!!!에프킬라 확 그냥""",Politics
"지금은 공산화정권임을 잊지마라. ,",Politics
"""보수고 진보고 이제 도적놈들만 남았으니.. ㅋ 보수는 정신 못차려서 망해도 싸다.""",Politics
"""문재앙이 걱정하지말라 안심하라 했죠 마스크 쓰고 대응하자 했어야하는데..""",Politics
"""앞을 보아도 뒤를 보아도 그대는 꿀꿀대는 돼지 발정제!!""",Politics
"""문재인은 입만열면 거짓말이네 진짜 양심도 없다""",Politics
재앙이가 좋아하는 북한에서는 이런거 못만드나요?,Politics
"""에라이 박이나 문이나""",Politics
"""중국몽 문재앙씨 어디 입이 있으면 말해보세요 ㅋㅋ""",Politics
"""문뻘의 달창노래하냐""",Politics
"""문죄인 집권 일등공신은 가만히 있는게 야당 도와주는거다""",Politics
"""좌빨들 물타기 오지네""",Politics
이명박 박근혜때문에 썩은 한국이 싫었던 거지 지금 한국 최악이잖아,Politics
미국여자 특징:생리는 잘하는데 임신도 잘함,Politics
정부가 대체 뭘 숨기려고 발악중인가?,Politics
"""우리 일본?? 정말 토착왜구당이가?? 조선일보하고 너네 나라로 가라~""",Politics
김제동은 처 울고 있겠네! 빨갱이 싯기!,Politics
"""문어벙 저능아 문OOO 코로나걸려서 뇌가없노""",Politics
문재인부패정치 나가라.촛불시위해야됨,Politics
저 시장 문죄인 말하는거 같더라 생긴것도 비슷하고 말하는것도 들딱 같은 느낌 출연진들 고소당할거 같다,Politics
"""곰재앙 정권 119 전부 쑈고 장난으로 보이지""",Politics
"""달창은 사이비종교 믿는 애들이랑 같은거야 나라가 망해가도 인지를 못하고있어""",Politics
"""좌빨 사탄은 지옥으로 얼릉가라. 전광훈 목사는 자유대한의 등불이다""",Politics
"""문재앙 지지률 50 이라는 구라미터 먼저 손봐야 할듯""",Politics
좌파 예능이라 그런지 마지막까좌제동 집에 방문하고 끝내네 근데 사드 그렇게 반대하더니 너네 문재앙이 사드 배치했잖아 근데 왜 아무 말도 없니,Politics
"""문죄니야 지지율 99%라 해라 ㅋㅋㄱㅋㅣㅋㄱㅋㄱㅋ 진짜 사람들을 개미 취급하네 ㅋ""",Politics
"""재앙이 너같은 어벙쩝쩝이 빨리 놈현에게 가는게 나라발전이란다 재수없는쌍판""",Politics
"""문재앙 거르고 꼭 정신병원 가봐라""",Politics
"""문재앙 """"평화 평화가 경제다...대한민국을 전체를 공동사용구역으로 내놓겠습니다""""""",Politics
"""글깐 알려달라고, ㅋ 좌좀들 되지도않는논리로 검찰개혁 부르짖지말고,""",Politics
갑자기 구원파...? 문재인이 나라 또 말아먹었음?,Politics
뭔 정권 이러냐ㅋㅋㅋㅋ 정치충들 극혐이네 연말에 열애설 터트린거 원투년이냐,Politics
"""달창들 애잔하다..같은 성별인 여성 편에 서야지 뭐하는 짓거리냐""",Politics
"""문재앙은 대한민국 대통령이 아니다!!!""",Politics
"""좌파들이 싫어하는 고인을~^^문상을 와야? 장난치냐? 좌파들은 문상올 지ㅣ격없다""",Politics
요즘 보수가 보수냐. ㅋㅋ 똥보수지,Politics
"""문천지 교주 문재앙. 사이비 집단광신도 수준. 국가대재앙이다""",Politics
"""자한당 망나니당이지 철없는 10대들의 조폭진출과정 ㅋㅋ""",Politics
"""재앙이 얼굴에 힘 빡들어가서 못 알아볼뻔~""",Politics
"""문제인이가 나라 다 망치고 있네 슬프다 ㅠ 어쩌다 저런 인간이 대통령이 되었단말인가""",Politics
"""이런 미친 또라이정부 중국 북한 다퍼주니 없지 정부 니들 걍 북한아님 중국으로 떠나라""",Politics
"""역시 매국보수들 출동해서 댓글 오지게 남기네 50대들 고생한다""",Politics
"""중국인들은 지금도 자유롭게 시내를 활보한다.... 문재앙.""",Politics
"""딴나라당과 검찰이 온갖 지.랄을 다해도 조국이 이긴다""",Politics
"""대깨문신도와 신천지 신도는 지능에서 동급.""",Politics
"""토착왜구 자식들인 적폐들과 그 몸종들이 바퀴벌레 처럼 슬금 슬금 기어나오고 있구나...""",Politics
주사파놈들이정치할거같은데,Politics
"""재앙이는 남한 인종을 극도로 혐오함 ㅋㅋ""",Politics
포복도 안해본 ㅅㄲ가 기어 나오네!,Profanity
햐...아직도 저새끼 신경써주네 ㅋㅋ,Profanity
혜리는 대표작이라도 있지 저세낀 입만털지 대표작이 머임?? 건축학 개론??,Profanity
"""사이비종교 광신도냐? 박사모보다 더한 좀비새끼들""",Profanity
"""지날 하시네 ㆍ젊은 놈들 눈뜨면 휴대폰 드는데 어떻게몰라 ㆍ개 쓰레기 기자야""",Profanity
오늘 씹노잼 제발 유치한 좀비 소재 이런거 좀하지말자 초딩맨 시절 보는줄,Profanity
"""ㅎㅎ 혹시 유경험자?""",Profanity
이래도 ㅈㄹ 저래도 ㅈㄹ 지들끼리 알아서 하겠지 실제 모습 알지도 못하는 것들이 말이 많냐,Profanity
결혼중에 딴놈한테 씹 벌리면 개차반 이혼당하는거지 뭔 말을 구렇게 돌려하는지,Profanity
배달음식먹음 죽나? 유난좀 적당히 떨어라ㅈㄹ을 떨어야 잘크는거 아니다 왕재수 아줌마야,Profanity
조태규는인생졷댔군,Profanity
"""시발 예수가 시키드나?""",Profanity
"""교회 사이비 시이키들""",Profanity
"""흥분하년 지는거여~""",Profanity
여자한테 꽃뱀이라고 하는 샛기 종특 : 강지환은 아직 모르니 두고보자고 함 ㅇㅇ,Profanity
여자2명 조사해봐라..여자들이 졸라 구린내난다,Profanity
배려는 개뿔~~지랄시청자들을 갖고논거지ㅠㅠ,Profanity
"""배운거 없는 무식한 아재들아 좀 하라면 하라는대로해라 왜일케 말을 못알아 쳐먹어 시발""",Profanity
ㅅㅂ 누구야.,Profanity
"역시 연예인 세끼들은 인성부터가 안되있어.,....",Profanity
씹도 지겹다이젠 시청률도 거러지더만 ㅋㅋㅋㅋㅋ 씹도충들 니들 의리는 개나줫냐 니들도안보는데 뭘빨아대 ㅋㅋ,Profanity
"여우년 지 좋을때는 촬영하고, 불리할때는 2차가해래 ㅎㅎ",Profanity
송형준 발음 존나 재수없음,Profanity
"""뭔개소리야 돼지 생기야 돼지가 디지던 말던 팩트를 알고싶은거지""",Profanity
저정도면 이혼생각 안들어요...? 단순히 성격차이 문제가아니라. 애비라는ㅅ ㄲ 가 아동학대 수준인데?,Profanity
"""함 까보라고 시바라 십탱새끼들""",Profanity
진짜양아치저리가라쌔끼네 ㅋㅋㅋ니가킹이다,Profanity
새끼가 존나 지랄하고 있네,Profanity
돈은 갚고 가 이새캬,Profanity
