{이것도 자연재해 같은 거랄까?|그걸 어떻게 다 보상 해줘|방역 못 하면 돌멩이 던질 거다|잘하면 숟가락 얻는다고 평가절하한다|자기 생각이 다 맞는 줄 아나봐|그래 서민들 다 목매달아 죽어야 정신 차리지}
{영국은 다들 못 배웠나 국민성이 야만스럽기 짝이 없다|사진 찍지 말라는데 굳이… 관종 허세 인간 부류죠.|인류에 도움 안 되는 이런 건 그냥 버리는 게 답이죠.}
{신입이면 원샷이지 어허이 왜 빼려고 마셔마셔~|이거 마시면 실수할 것 같아서요|괜찮아 실수는 우리집가서 하세요~}
{재는 쌍커풀 수술이 완전 망했네.|야 상처받게 왜 그런 말을 하냐.|쟤는 필러를 얼마나 처맞았는지 입술이 오뎅처럼 불어터졌네.|아직 한 지 얼마 안 됐으니까 그럴 수도 있어~|내가 볼 때는 시간이 지나도 그렇지 않을 것 같은데..}
"{너 성적을 보고도 밥이 넘어가냐?|내 성적인데 왜 니가 난리야|집에 돈도 없고 공부도 못하고, 니 인생은 어쩜 이리도 노답이니}"
{나 코했는데 어때 너무 마음에 드는데|너 진짜 하고왔냐?|강남돌아다면 많이보이는 강남언니 뺨칠 정돈데?}
{민주당 지지자로서 쪽팔린다|쪽팔린 줄 모르는 열성 똥파리들도 있음|걔네는 민주당 지지자가 아니라 국짐당 지지자라고 봐도 무방함}
{나이에 맞는 행동 좀 해라|제가 철이 좀 없어서요|머가리에 개념 좀 탑재하고 살아라}
{병헌이는 여자 끼고 살아서 정기 다 빨렸겠네|그니까 병헌이 부러운 쓰레기자식이다|에효 우리 인생이나 잘 살자}
{이건 대체 누가 책임지냐?|책임져야 할 것들 다 뒤졌는데 시체라도 파야되냐 ㅋㅋ|자연도태 된거지 뭐 지능이 낮아서}
{운전면허증 위조하는데 얼마나 들까요?|무슨 일 때문에 면허 취소 됐죠?|못 배워먹은 렉카충이 끼어들어서 사고났네요ㅠ}
{좂무원들은 한달에 80만원씩만 쳐 줘라 하는 것도 좂또 없는데|방구석에서 쳐놀고있는 너보단 100배는 하는거많을듯|좂무원 검거ㅋㅋ|새77l 열등감느끼노}
{미국 또 총기난사사건 일어났대|ㄹㅇ 깽스터ㅋㅋㅋ|미국도 개판이네 ㅋㅋ}
{쉰내나는 남자들 데리고 또 무슨 프로그램을 만든다고 난리야.|맨날 똑같은 출연자들 지겹지도 않나?|못생긴 한남들만 나오는 알탕예능 너무 질린다.|연예인들 진짜 쉽게 돈 버는 것 같다.|고인물들 언제 물갈이 한 번 싹 해야지.}
{이 정도면 부서 자체의 문제 아니냐|부서 이동 하고 싶다|여긴 다 빡대가리들 뿐이야}
{제발 대한민국에 있는 모든 한남 전부 일본으로 꺼졌으면 소원이 없겠다|30대 판년들이랑 반응이 똑같네 역시 너도 한국년|너 다시 말해봐}
{현수 괴롭힌 애들 경고로 끝났다는데?|그게 말이 돼?|걔네들 부모 뺑소니나 당했으면 좋겠다}
{어때 사진 잘 나왔어?|어 완전 깡패처럼 나왔어|덩치 봐라 깡패들도 형님 하겠다}
{우리 이번에 16위 ㅠㅠ|솔직히 말해봐 너 친구 없지?|메달 개수로 순위 따지는 틀딱식 사고는 대체 어디서 또 기어 나온거야?}
{압구정에서 성형했다는 이 누나 왜케 징그럽지?|머리만 보이노.|헐크 박수 치는 데 들이밀었나봐.}
{오현민은 자기 똑똑하다고 깝죽거리는 게 보기가 싫다|내 친구 중에도 저런 얘 있는데 진짜 별로야|사람이 겸손할 줄도 알아야지|있던 친구도 다 떠나가겠다}
{오늘 야식은 라면~|무슨 라면 먹을꺼냐?|나 당연히 스낵면이지|와 진짜 찐따 취향이네 당연히 신라면 아니냐?|스낵면 무시하냐? 맛있거든?}
{우리반 담임 핸드폰 해킹해서 몸캠 찍고 싶다|왜 그런 상상을 하는 거야?|몸캠으로 협박하면 재밌을 거 같음}
"{꼭 면상 빻은 애들이 화장 노동이니 뭐니 이야기하더라|어차피 화장 안하고 와도 아무도 신경안쓰는데, 피해의식에 쩔어서 살아가니 저런거지|이쁜 애들이 피해의식이 없고, 저런 면상들은 항상 피해의식에 찌들어 인성도 터짐}"
{하지말란건 제발하지말자. 대부분의 문제가 하지말라는 사람말을 개무시해서 일어남 ㅋㅋㅋㅋ|전라도특징|전라도 광주에 사시는 만득이 삼촌이시잔아요!  전라도 사시면서 왜 전라도를 싫어하세요...}
{넌 고향이 어디야?|나 광주라서 추석 때 광주내려간다|아 ㅋㅋㅋ 여권챙기고 가야겠네?}
{집 앞에 게이바 생겼는데 갈래?|난 여친도 있는데 거기를 왜 가|왜 게이들 끼리 부벼대는 거보면 ㅈㄴ 원숭이 같고 웃길 듯}
{너는 왜 와꾸가 그 모양 그 꼴이니|너네 엄마가 그딴 와꾸로 낳은 거야?|지는 빻은 와꾸에 소추면서 나보고 뭐라고 하네}
{너 같이 뚱뚱한 애가 무슨 바디 프로필을 찍는다고 난리야|그렇지? 나도 말이 안 되는 것 같긴 해|아니 못할건 또 없긴 한데...|나 못 믿지?|못 믿는다기보다는 진짜 힘들거라는 거지..|나도 알아~ 그래도 한번 해볼게 ㅋㅋ}
{밥먹을 때 쩝쩝 소리좀 내지마 쩝쩝충아|입에 돌주먹 꽂고싶네 ㅋㅋㅋㅋㅋ|내가 밥먹을 때 그렇게 쩝쩝소리가 심한가?}
{저 멍멍이가 상황파악도 못하고 클럽에 쳐 가는 걸 보면 오체분시해버리고 싶음|뷔응신딱이 제 버릇 고치는 걸 보면 해가 서쪽에서 뜰걸}
{저도 재난지원금 대상자가 아니지만 맞는 대책인 거 같습니다.|국회의원이 재난지원금 대상자면 그게 나라냐?}
{면세점에 짱깨들 너무 많아|시끄럽고 냄새 오졌겠네|진이 다 빠진거 같아}
{나 이번에 해군지원했어|배만 안타면 편하지 않아?|별명이 바다공익이잖아 ㅋㅋㅋㅋ}
"{최근에 어떤 페미니스트가 올린 유튜브 영상을 봤어.|그 여자는 탈코르셋 운동을 한다면서 모든 화장품을 부수더라.|그렇게까지 과격하게 탈코르셋 운동을 할 필요가 있을까?|그러게, 탈코르셋 운동은 페미니스트들한테 도움이 안 될 것 같아.|화장을 해도 못생긴 쿵쾅이들이 탈코르셋 운동을 하면 오크처럼 보일 듯 ㅋㅋㅋ}"
{나 이번에 연애시작했어.|이번에는 꼭 길게 가보려고.|그래 좋은 인연이면 좋겠다.|저번에 만난 외국인이랑은 끝난 거야?|ㅇㅇ 근데 어제 한남 소추 보고 정 떨어질 뻔 했음;;}
{전두환 암적인 존재였는데 잘가라|솔직히 죽었으면 안쓰럽다는 생각이 나야 정상인데..|맞아 국민 99프로는 그렇게 생각 안할듯..}
{털보는 왜 사진 찍을 때마다 한쪽 눈 감냐?|지가 귀여운 줄 아는가본데 비타민 부족인가.}
{힙합한다고 나대는 애들 넘 오글거려|찐따같고.....|ㅎㅌㅊ 인생들 같아}
"{야, 주말인데 뭐 하냐?|상큼한 일본 여고생 사진 보면서 한 발 뺀다.}"
{똥꼬충들은 다 치질걸리게 해야 함|그러면 역겨운 게이짓도 안할 거 아니야|그냥 동성을 좋아할 뿐인데 그게 왜 역겨운거야}
{내가 왜 취업 안 하고 백수로 지내는 줄 알아?|문재앙 시절 청년 실업을 조금이라도 높이려고 그런다.|취업하고 싶은데 꾹 참음.|오오 애국 백수네.|근데 몇 살인데 청년이래?|20대 후반이다.|ㅋㅋㅋ 모기가 카미카제 하는 수준이다.}
{이혼남이 양육비 월 30만원 준다는 게 말이야 방구야?|애 두 명에 30이면 싸게 잘 치웠다고 생각하겠네|남자놈들 멋대로 싸질러 놓고 책임감도 없지}
{나 잠깐 엎드려 있는데 걔들이 지나가면서 쟤 진짜 자살했으면 좋겠다고 하는거 내가 똑똑히 들었어 ㅠㅠ|그런 취급 받으면서 학교 다니느니 나 진짜 자살하는 게 나을 것 같아|그까짓거 걔들이 뭐라고 그런 말에 상처받아!|그런 애들한테는 그냥 개무시가 답이야}
{군대에서 솔직히 꿀빨잖아|이 드립을 여기서 다 듣네|군대에서 밥 주지 재워주지 돈 주지 뭘 더 바라는데?}
{앞으로 진천쌀 먹어야지|몇 년째 데모만 해대는 성주랑 비교 되네|지역 이기주의가 만연한 시기에 진천은 돈쭐 나도 돼}
{자존감 낮은 애들은 진짜 멀리하는게 좋아|지들이 세상에서 젤 불쌍한 줄 알아서 개빡쳐|그런 애들 정신병원에 다 가둬버려야해}
{나도 예쁜 여친 있었으면 좋겠다|자기객관화가 덜 됐구나|여자는 남자 돈만 보니까 나도 가능해 ㅋ}
{어제 클럽에서 성추행 사건 기사 봤음?|근데 그거 여자 잘못도 있다고 생각함|나같아도 그렇게 입으면 만지고 싶을 듯ㅋㅋ}
{혈압약 타러 병원 갔다 올 거야|너는 나이가 몇 갠데 벌써부터 혈압약을 먹냐|돌도 안 지난 니 애가 불쌍하다|너만 사라지면 내가 혈압약을 끊을 수 있을 것 같은데}
{조국 지지자들 조국 감옥가서 운 건 이해하겠는데 조국 마누라가 깜빵가는데 왜 쳐우는거?|진짜 종교도 아니고 걍 모자라보이던데..|종교 믿는 애들도 모자란 애들 많음}
{니 의자에서 자꾸 끽끽거리는 소리 나는데?|아 그거 아베가 우는 소리임|이번에 올림픽에 돈 많이 썼는데 개불쌍함ㅋㅋ}
{내가 너 소개시켜줄 여자 사진 가져왔어|오 기대됩니다~|이 사람 직업이 필라테스 강사야|오 필라테스 강사... 몸매 기대된다|레깅스 뚫고 엉덩이에 박고 싶을 정도야|그럼 당장 소개 받을래}
{고양이 괴롭히는 짤 보면 99프로가 흑인이던데 왜 그런 거지?|흑인들이 대천사 미카엘의 후손이라 그렇다.|미개한 검둥이 노예들 채찍질하고 싶다.}
{사장님 여기 불량식품 유통기한 지났는데 어떡하죠?|그거 어차피 잼민이들 확인도 안 하니까 그냥 냅둬|애들 병걸리면 어쩌려고 그래요ㅋㅋ}
{하 시험공부 하기싫다.. 하기 싫은걸 내가 왜해야되는거야|아 시벨 징징이색긔 그만 징징거려 쥰나게 시끄럽네 하기싫음 하지말던가|안그래도 기분 안좋은데 너까지 왜그래? 너무한다 진짜}
{우리과 대학원생들 왜 요즘 몰골들이 노숙자 같냐|커다란 프로젝트 중이라서 그렇다던데|교수님들이 집에 안보내주신대}
{애들은 말 안들으면 때려야지 오냐오냐 한다니까|애들 때릴곳이 어디있다고 그런말을 하는거야?|에이 징징거리는거 꼴보기 싫은것부터가}
{추석에 어디 가?|아니 우린 보통 어디 안 가고 그냥 집에 있어|솔직히 우리집은 완전 빻은 콩가루 집안이라ㅋㅋ모여서 제사드리고 그런 거 없거든|거지같은 집구석 이런 거 하나는 좋네|야 완전 부럽기만 한데 뭘|난 이번에도 할머니집 가서 일만 죽어라 할 것 같은데|우리집은 아주 뼛속까지 한남충 마인드로 똘똘 뭉쳐있는데다가|할머니는 이 시대 최고 흉자라 진짜 집안꼴 개노답임}
"{7년 취준, 8년 공시면 차라리 기술 배우는 게 낫지 않냐?|지잡대생도 최소 4년 + 4천만원 쏟아부었는데 마인드가 '대학은 나왔으니 그래도 좋소는 안가야지'가 당연하지|집이 얼마나 잘살면 저런데도 그냥 냅두냐 부럽네}"
{여자들 레깅스만 입고 다니는 거 너무 민망해|내 앞에서 팬티자국 다 보이는 레깅스 입고 씰룩대고 걸어가는데 도대체 눈을 어디다 두고 걸어가야 됨?|남이사 팬티자국 보이는 레깅스를 입고 다니든지 팬티를 입고 다니든지 니가 무슨 상관이야 ㅋㅋ|풍기 문란은 지네가 하고 시선으로 성희롱 어쩌고 남자 탓만 하는 게 우습다는 거다}
{야 저거 누가 같이 하자고 했냐?|더럽게 못 해서 짐 수준인데?|미안하다 괜찮을 줄 알고 그랬는데 전혀 아니네}
{이상윤 서울대 나오고 잘생기고 연기도 잘한다|서울대도 물리학과 나오면 진짜 똑똑하겠다|으 똑똑한 한남 개별로|지 주장 안 굽히고 떽떽거릴듯}
{백신 미접종자 죽이려고 슬슬 언플 시작하네.|죽어야지. 안 맞다 코로나 걸리면 치료비 전액 자비 부담하고.|날씨 풀리니까 시위 못하게 하려고 온갖 언플함.}
{남자친구 집에 들어가서 3일 동안 집 밖으로 안 나왔다고?|빼박 3일 내내 했을 듯|아 나도 남자 아이돌로 태어날걸|아니면 나도 끼워주면 좋겠다.}
{학생때 왕따나 학폭당한게 무슨 자랑이라고 미투하지?|너가 피해자라 생각해봐|나는 피해를 본적이 없어서 모르겠는데;;|가해자가 이미지 포장되서 잘나가면 범죄지.|내가 생각이 짧았다.}
"{조국수홍. 조국 따까리나 해라  인간아..|왜 씰대없는소릴 하고서 욕버냐|홍준표 좋아했는데 범죄자 조꾹이 편들어 줘서 아웃.,.. 에효}"
{믿고 얘기한 걸 저렇게 다 까발려 버리냐|자고로 입 가벼운 남자는 여자랑 다를 바 없고 큰 일 못한다|지는 입 무거운줄아네 벌레같은놈이}
{꼭 못생긴 애들이 성격이 더 더럽더라|이해해라. 못생겨서 사랑 못 받고 자라서 그런건데|못생긴 애들이 또 머리도 나쁘고 집안도 가난한게 대부분이더라. 살다보니 사회의 선입견이라는게 다 이유가 있는거였어.}
{요즘 아이돌들 노래도 못하면서 무슨 가수를 하겠다고|어차피 빠순이들 조금만 모으면 알아서 돈 갖다 바침|논란 터지면 알아서 쉴드 처 주고 ㅋㅋㅋ|잘생기면 살기 진짜 쉽겠다}
{여기 음식 너무 맛없지 않냐?|내가 아무 음식 넣고 섞어도 여기보단 맛있을 듯|이래서 노땅들이 하는 음식점을 걸러야 돼}
"{창촌에서 근무하는 사람들한테 세금으로 지원금을 주다니..정신나간 나라|맞아. 몸파는게 뭐 대수라고|진짜 나라가 어질어질하다|역겹고 구역질나는 대한민국,,,이민가고싶어요}"
{주말인데 오랜만에 애들이랑 공원이나 갈까?|나 낚시가야되서 안돼|낚시를 또간다고?|저번주에도 다녀왔자나!|이번주에는 꼭 가야되|그냥 바다에 빠져서 물귀신이나되라!!}
{해외 여행 굳이 갈 필요 있나?|국내에도 좋은 곳 얼마나 많은데|그래도 해외 나가면 새로운 느낌이잖아|너처럼 해외 나가서 돈 뿌리는 매국노 되느니 국내 여행 가지|그게 매국노까지 갈 이야기인가?}
{한국인들은 자잘한 물건들을 자꾸 훔쳐|못살던 시절 버릇이 남아있어서 그런가봐|거지같은 근성 좀 버렸으면 좋겠네}
{여기 뭐하는데 통행금지야?|기껏 서울까지 놀러왔는데 이게 뭐야|무슨 드라마 촬영한다고 그런가봐|드라마가 뭐라고 사람들을 지나다니지도 못하게 해|연예인들한테 피해갈까봐 그러는 듯ㅋㅋㅋ|딴따라가 뭐라고 이렇게 난리냐|그래봤자 사람들한테 사랑 못 받으면 끝나는 주제에 갑질 오지네}
{남의 잔칫날 가서 불상에 테러하는 거 정상임?|걔네 종특인데 한두번 보냐?|교회애들 하는짓보면 십자가 부셔서 머가리 꽂아버리고 싶네}
{모텔 직원 매수해서 객실에 몰카 설치한 인간은 사람인가|아 개꼴리겠다 진짜 지리는 영상들 많던데 구매하러 가야겠다|넌 진짜 나쁘다 너무 역겨워}
{외국에서 포켓몬 오레오가 인기인가 보네 ㅋㅋㅋ|유튜버들 다 리뷰해 ㅋㅋㅋ|뭘 유행이야 ㅋㅋㅋㅋ 조회수 운지구만|그냥 덕후들의 발악이짘ㅋㅋㅋ}
{니거들 피부 색 더러워 보여|야 밥 먹는데 그런거 말하지마|안 씻고 다니니까 그러겠지}
{난 결혼은 무조건 일본여자랑 할거야|기모에 스시녀 싸먹고 싶다}
{엄마 잔소리 듣기 싫은데 방법 없냐|집을 나가면 되잖아|엄마를 죽이던가}
{여자 티 내기만 하면 저렇게 달려든다고?|진짜 도태남들 역겹다.|주작이었으면 좋을 정도임.}
{어디서 심사위원 자격도 없는 아이돌을 데려와서 댄서들을 평가하게 해?|쟤네가 백날 연습해 봤자 ㅈ 같이밖에 못 출 텐데|하긴 그러니까 데뷔한 지 한참 됐어도 듣보잡이지|빠순이 년들이나 좋아하지 대중들은 관심도 없음}
{저 연예인은 잘생긴 남자 연예인만 보면 꼬리치고 싶어 환장하네|늙어서 자글자글한 주름 낀 눈웃음 진짜 토 나올 것 같아|옆에 저 남자 연예인이 뺨 안 때린 걸 감사하게 여겨야 함}
{엄마 나 우유 한잔만 주세요~|니가 가져다 처먹어 집에서 먹고 싸고 니가 하는짓이 뭐야|게임만 하면 돈이 나와 쌀이 나와 니가 돼지새끠야?}
{보이스피싱 당하는 거 진짜 멍청하지 않냐?|노인네도 아니고 무슨 보이스 피싱을 당하냐|멍청한게 죄지 꼴좋다}
{그래도 이재명은 욕설 파문 때문에 뽑기 그래.|하긴... 형수님이면 억장 무너질듯.|형수가 먼저 잘 못 했을 수도 있지 않아?|욕설 녹음해서 세상에 푼 게 좀 그렇긴 하다.|욕설 녹음도 못하게 패거리 불러서  패지 그냥}
{서른 넘으면 여자가 아니야.|꽃은 지고나면 쓰레기일 뿐이지.|나비 떠난 꽃은 빨리 떨어져야 하는데.}
{지금 이시국에 학교 오라고 하는거 진심 미틴 거 아님?? 다같이 죽자는 건가?|등록금 감면해달라고 난리 치니까 주기 싫어서 그러는듯 학교가 학교가 아니라 장사를 하려고 한다.|거지같네 진짜 나 코로나 걸리면 지들이 내 인생 책임져 줄 꺼임? 잣같네 진짜|등록금 조금 낮추는 거도 안해준다고 머리쓰는 냔들이 니 인생 책임 질 거 같음? 그냥 다 같이 뒤지는 거지.}
"{부모가 망나니라 아들도 망나니로 키우셨나 봅니다.|우리 애가 사람을 죽였어요 상해를 입혔어요?|잘못도 모르는 천박함까지, 배워먹지 못한 집안이었네요.}"
{아니 근데 10년 사이에 뭔 일이 있는거야|개센징들이 꼴에 나라라고 20만명을 징집해서 소꿉놀이를 하고 있으니까 그런거지|개센징이면 어디서든 문제 터지게 되어있음}
{육상할 때 여자들 바지 더 짧게 입히면 안 되냐?|스포츠가 보라고 있는 건데 그 정도 쇼맨십은 필요하지|스포츠 브라도 너무 조이지 말고 출렁이게 둬도 될 거 같은데}
{이번에 공무원 붙을 수 있을까? ㅠㅠ|돼지같은 니한테 붙을거라곤 살 뿐이다 ㅋㅋ|말 진짜 개ㅈ같이 하네}
{재수한 놈들 불쌍하다 ㅋㅋㅋ|재수해서 의대 간 사람이 덜떨어진 지잡대생보다 낫지|1년 버리는 건데 왜 낫냐|재수는 2보 전진을 위한 1보 후퇴야}
{생긴대로 논다. 답이 없네|그리스가아니고 병원가는게시급한듯...|암컷두리중한명 시마이해야겠다}
{아프간 소식 하나도 관심 없는데 왜 자꾸 올라오는 거임?|문재앙이 머한민국 아프간 시즌2 만들고 있는데 관심없고 그러지?}
{수영복 차림을 왜 올리냐?|추하고 싸보일 뿐이지}
{생각 좀 하고 말해|방구석 찐따들아|듣는 사람 기분 좋게 말해줬으면 좋겠네}
{연애 왜 이렇게 힘들어?|혼자가 편하긴 해|혐애 하지말자}
{칠순 찍고 자살하는 게 답이다|더 살아봤자 짐덩이임|오 먼저 니 부모 먼저 처리하고 결과 알려줘|설마 부모 70 넘었냐? 개틀딱이네}
{헐 한국수자원공사 직원이 부산 에코델타시티사업에 85억을 횡령했다 허무하다.|정말 대한민국 공무원들 너무 하네. 도대체 어디까지 썩을 수 있는지. 진짜 개 자식이네.|수자원공사는 개인의 일탈로 조사되었다고 하는데 과연 그럴까?|썩을데로 썩은 공기업과 공무원 시키덜 작작 좀 해라.|전국에 공무원 비리 없는데가 없네. 제발 처벌 좀 강화했으면 좋겠다.|삼족을 멸해서 재산몰수하고 직계 가족까지 다 옥살이 시켜라.}
{사촌동생 교환학생 간다고 엄청 자랑하더라|아 설마 저번에 엄청 사이 안 좋다던 사촌임?|어 맞아.. 그래서 엄청 신경 쓰임 또 다른 친척들 나랑 비교해서|그런 거 신경 쓰지 마라 상련.. 가서도 아마 적응 못하고 왕따처럼 있다가 올 듯|그런 거 모르겠고 그냥 비교만 안 했으면 좋겠음}
{짱깨들 할 게 없어서 공산당 관광상품을 만드냐|세뇌당한 젊은 중국인들 안타깝다|뭘 안타까워 짱깨들은 싸그리 죽여야 해 문화대혁명말고 대학살을 해야할 때}
{비가 온다더니 해가 아주 쨍쨍하네|기상청은 국민 뒤통수 치는 거 말고는 하는 일이 없네}
"{내가 저런 아이돌 그룹들 노래를 듣느니 차라리 내 토사물로 목욕을 하겠어.|이 싸이코야, 아무리 아이돌 노래가 싫어도 그건 에바잖아.|아니, 그렇게 저급한 딴따라들 노래는 죽어도 듣기 싫음.}"
"{나 서폿 잘 못하는데 원딜하면 안돼?|하, 앰생 창ㄴ인가|못한다고 오또케 오또케 찡얼대기만 하네}"
{코로나 때문에 여름 휴가도 못가고 답답하네.|그니까 말이야.|짱깨놈들 코로나 걸려서 다 뒤졌어야 했는데.}
